date,tic,open,high,low,close,volume
2016-01-04,AXP,68.09,68.18,66.77,67.59,10069871.0
2016-01-05,AXP,67.37,67.71,65.67,66.55,11341027.0
2016-01-06,AXP,65.24,65.55,64.24,64.42,10285609.0
2016-01-07,AXP,63.31,64.2516,63.084,63.84,11977573.0
2016-01-08,AXP,64.18,64.4085,63.57,63.63,10469982.0
2016-01-11,AXP,63.74,64.21,63.1,64.05,8440918.0
2016-01-12,AXP,64.8,64.9,63.6,64.4,7937494.0
2016-01-13,AXP,63.65,64.37,62.23,62.85,11854294.0
2016-01-14,AXP,62.85,63.75,62.37,63.29,7239535.0
2016-01-15,AXP,62.0,63.05,61.5,62.91,9212071.0
2016-01-19,AXP,63.41,63.79,62.24,62.64,8650519.0
2016-01-20,AXP,61.54,63.54,61.29,63.03,9604672.0
2016-01-21,AXP,63.0,64.32,62.51,62.64,9291552.0
2016-01-22,AXP,58.13,58.89,54.14,55.06,45187715.0
2016-01-25,AXP,54.46,55.77,54.14,55.02,19008702.0
2016-01-26,AXP,55.18,55.74,54.96,55.09,13269110.0
2016-01-27,AXP,55.43,55.82,54.42,54.52,11448909.0
2016-01-28,AXP,54.68,54.76,52.15,52.88,18606549.0
2016-01-29,AXP,53.18,53.705,53.05,53.5,15106815.0
2016-02-01,AXP,53.41,54.99,53.0,54.7,10247250.0
2016-02-02,AXP,54.39,54.39,53.49,53.66,12623946.0
2016-02-03,AXP,54.0,54.29,52.83,54.11,10201906.0
2016-02-04,AXP,54.08,54.46,53.81,54.38,7102314.0
2016-02-05,AXP,54.72,54.845,53.81,53.98,9708106.0
2016-02-08,AXP,53.24,53.45,52.23,52.4,12828053.0
2016-02-09,AXP,52.26,53.0199,51.91,52.63,8829071.0
2016-02-10,AXP,53.0,53.43,52.28,52.29,7765864.0
2016-02-11,AXP,51.22,51.59,50.27,51.11,9671716.0
2016-02-12,AXP,51.88,52.73,51.64,52.66,6563425.0
2016-02-16,AXP,53.01,53.48,52.73,53.18,7633183.0
2016-02-17,AXP,53.5,54.0,53.3,53.61,9090576.0
2016-02-18,AXP,53.5,54.345,53.45,54.15,8758754.0
2016-02-19,AXP,54.25,55.0299,54.03,54.71,7439817.0
2016-02-22,AXP,55.2,55.63,54.96,55.63,6933911.0
2016-02-23,AXP,55.52,55.6,54.96,55.11,6173212.0
2016-02-24,AXP,54.45,54.87,53.5599,54.64,5790018.0
2016-02-25,AXP,54.78,55.39,54.3,55.39,4592091.0
2016-02-26,AXP,55.71,55.9,55.15,55.38,6137514.0
2016-02-29,AXP,55.3,56.15,54.81,55.58,11817727.0
2016-03-01,AXP,56.03,56.84,55.62,56.8,9495006.0
2016-03-02,AXP,56.88,57.23,56.57,57.12,7569255.0
2016-03-03,AXP,57.16,58.18,57.16,58.09,7645670.0
2016-03-04,AXP,58.44,58.65,57.81,58.29,5703410.0
2016-03-07,AXP,58.0,59.48,57.63,59.0,9789827.0
2016-03-08,AXP,58.84,60.0,58.71,59.43,11165866.0
2016-03-09,AXP,59.7,59.79,58.52,59.05,6746743.0
2016-03-10,AXP,59.29,59.46,58.05,58.75,7046914.0
2016-03-11,AXP,59.525,59.91,59.015,59.46,8437164.0
2016-03-14,AXP,59.51,59.94,59.01,59.57,4518664.0
2016-03-15,AXP,59.36,59.4,58.625,59.23,4095136.0
2016-03-16,AXP,58.91,59.9,58.72,59.7,5147184.0
2016-03-17,AXP,59.55,60.495,59.32,60.08,5015805.0
2016-03-18,AXP,60.3,61.445,60.03,61.22,10416173.0
2016-03-21,AXP,60.99,61.38,60.85,61.21,3824816.0
2016-03-22,AXP,60.77,60.9,59.91,60.61,5113333.0
2016-03-23,AXP,60.7,60.91,60.28,60.63,3843305.0
2016-03-24,AXP,60.22,60.52,59.595,60.47,3859799.0
2016-03-28,AXP,60.77,60.79,59.86,60.28,3547873.0
2016-03-29,AXP,60.11,60.65,59.46,60.6,4419231.0
2016-03-30,AXP,60.98,61.0,60.185,60.29,5489480.0
2016-03-31,AXP,60.51,61.52,60.28,61.4,7460104.0
2016-04-01,AXP,60.73,61.66,60.56,61.1,4548283.0
2016-04-04,AXP,61.01,61.055,60.46,60.62,3660425.0
2016-04-05,AXP,60.14,60.44,59.68,60.19,4918039.0
2016-04-06,AXP,59.84,60.05,59.42,59.88,4349849.0
2016-04-07,AXP,59.45,59.52,58.7,58.86,4319087.0
2016-04-08,AXP,59.0,60.2599,58.99,59.5,4800200.0
2016-04-11,AXP,59.67,60.08,59.281,59.8,4249434.0
2016-04-12,AXP,60.0,60.71,59.8001,60.68,4630117.0
2016-04-13,AXP,60.89,62.43,60.842,62.16,5048460.0
2016-04-14,AXP,62.16,62.68,61.97,62.51,4436621.0
2016-04-15,AXP,62.66,62.84,61.91,62.14,5059416.0
2016-04-18,AXP,61.78,62.625,61.73,62.59,3326387.0
2016-04-19,AXP,62.75,63.61,62.74,63.57,5414818.0
2016-04-20,AXP,64.12,65.33,63.92,65.02,8981049.0
2016-04-21,AXP,67.0,67.34,65.4,65.61,9853242.0
2016-04-22,AXP,65.05,66.22,65.05,65.93,6454006.0
2016-04-25,AXP,65.64,65.85,65.14,65.7,4475035.0
2016-04-26,AXP,65.98,66.43,65.63,66.2,4217999.0
2016-04-27,AXP,66.39,66.67,65.83,66.23,4751573.0
2016-04-28,AXP,65.73,66.49,65.56,65.84,4128784.0
2016-04-29,AXP,65.57,65.79,64.85,65.43,5578560.0
2016-05-02,AXP,65.58,66.05,65.175,65.68,4490540.0
2016-05-03,AXP,65.03,65.05,64.33,64.85,5041712.0
2016-05-04,AXP,64.13,64.75,63.83,64.26,5252943.0
2016-05-05,AXP,64.46,64.72,63.79,63.92,4228500.0
2016-05-06,AXP,63.76,64.71,63.45,64.51,3873025.0
2016-05-09,AXP,64.23,64.58,63.77,63.98,4493257.0
2016-05-10,AXP,64.34,65.13,63.99,64.84,4280032.0
2016-05-11,AXP,64.62,65.32,64.41,64.59,5188611.0
2016-05-12,AXP,65.07,65.36,64.065,64.34,3762123.0
2016-05-13,AXP,64.35,64.98,64.05,64.12,4795135.0
2016-05-16,AXP,64.02,64.3,63.67,64.07,5115157.0
2016-05-17,AXP,63.86,64.1,62.59,62.76,8391951.0
2016-05-18,AXP,62.6,63.61,62.53,63.52,5721385.0
2016-05-19,AXP,63.06,63.53,62.32,62.74,4779082.0
2016-05-20,AXP,63.16,64.14,62.95,63.92,5858393.0
2016-05-23,AXP,63.86,64.1,63.56,63.59,3411824.0
2016-05-24,AXP,63.81,65.1,63.79,64.87,4251072.0
2016-05-25,AXP,65.04,65.76,65.01,65.31,6209515.0
2016-05-26,AXP,65.29,65.37,64.95,65.23,3803710.0
2016-05-27,AXP,65.39,65.7,65.33,65.52,4235289.0
2016-05-31,AXP,65.7,65.92,65.4,65.76,6284314.0
2016-06-01,AXP,65.44,65.96,65.18,65.91,4269099.0
2016-06-02,AXP,65.86,66.41,65.6,66.41,3273381.0
2016-06-03,AXP,65.5,65.82,64.77,65.49,4700623.0
2016-06-06,AXP,65.55,66.2,65.5,65.94,4187692.0
2016-06-07,AXP,66.15,66.6,65.88,65.89,4058477.0
2016-06-08,AXP,65.94,66.58,65.94,66.26,2838553.0
