,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999565.9782488709
2,2021-10-05,1000382.4581586571
3,2021-10-06,1000648.206857769
4,2021-10-07,1002316.0078031122
5,2021-10-08,1002548.672274559
6,2021-10-11,1000289.5856431313
7,2021-10-12,999669.1981230584
8,2021-10-13,999108.2754643593
9,2021-10-14,1008831.7379934083
10,2021-10-15,1015085.1621699373
11,2021-10-18,1013630.3673077128
12,2021-10-19,1017460.0693923761
13,2021-10-20,1024236.3639978525
14,2021-10-21,1021073.3345345042
15,2021-10-22,1023391.9566185497
16,2021-10-25,1022560.2060680888
17,2021-10-26,1025468.1269127658
18,2021-10-27,1016874.0809843715
19,2021-10-28,1026585.8477170337
20,2021-10-29,1028950.157314629
21,2021-11-01,1028685.20474276
22,2021-11-02,1030009.2884105152
23,2021-11-03,1034354.2737277454
24,2021-11-04,1035133.9902308887
25,2021-11-05,1036825.1287272876
26,2021-11-08,1044206.7535746997
27,2021-11-09,1044750.8990367359
28,2021-11-10,1035976.9861377185
29,2021-11-11,1032994.6900561756
30,2021-11-12,1037986.018364281
31,2021-11-15,1034866.4522021717
32,2021-11-16,1033424.2976573413
33,2021-11-17,1031653.600181908
34,2021-11-18,1026563.4104693836
35,2021-11-19,1016080.1641848987
36,2021-11-22,1015442.5934794849
37,2021-11-23,1019973.4941600269
38,2021-11-24,1017794.960136742
39,2021-11-26,990419.9338954395
40,2021-11-29,1004704.1203998035
41,2021-11-30,985005.2915080494
42,2021-12-01,963879.7713397449
43,2021-12-02,978626.4603732532
44,2021-12-03,977962.4917529529
45,2021-12-06,994506.9588473743
46,2021-12-07,1010255.8541491932
47,2021-12-08,1013243.8677905506
48,2021-12-09,1013349.2594035572
49,2021-12-10,1021731.954452843
50,2021-12-13,1014496.5084575122
51,2021-12-14,1009549.462757439
52,2021-12-15,1023541.232326836
53,2021-12-16,1021520.5294650501
54,2021-12-17,1009770.4612887806
55,2021-12-20,997023.7080882496
56,2021-12-21,1009548.5096515125
57,2021-12-22,1016719.354378075
58,2021-12-23,1022155.8342784351
59,2021-12-27,1033214.2381328052
60,2021-12-28,1034357.058750481
61,2021-12-29,1035481.6891330188
62,2021-12-30,1034238.3443721241
63,2021-12-31,1032145.581684441
64,2022-01-03,1041404.6673091358
65,2022-01-04,1041693.2518657154
66,2022-01-05,1028871.39747271
67,2022-01-06,1018260.3978351062
68,2022-01-07,1018979.4534266895
69,2022-01-10,1022197.3791278308
70,2022-01-11,1031585.5315020984
71,2022-01-12,1036514.7301677173
72,2022-01-13,1027797.511043877
73,2022-01-14,1022123.7066310352
74,2022-01-18,1006494.6948321766
75,2022-01-19,999069.5425494617
76,2022-01-20,991200.742016167
77,2022-01-21,980290.7523158496
78,2022-01-24,981340.084354729
79,2022-01-25,986630.5685733265
80,2022-01-26,982776.3080867237
81,2022-01-27,981837.1719249195
82,2022-01-28,995522.3333209461
83,2022-01-31,1012099.74928698
84,2022-02-01,1016443.6638301319
85,2022-02-02,1021537.5399211353
86,2022-02-03,1005979.9690516895
87,2022-02-04,1007385.9151423877
88,2022-02-07,1009138.688412041
89,2022-02-08,1020817.9425395435
90,2022-02-09,1030477.4759448475
91,2022-02-10,1013104.6834643787
92,2022-02-11,996727.4188846058
93,2022-02-14,990975.9603198475
94,2022-02-15,1004658.6512950367
95,2022-02-16,1002846.8186381763
96,2022-02-17,980273.856949181
97,2022-02-18,973508.1820186084
98,2022-02-22,965887.7863276905
99,2022-02-23,953855.4086078113
100,2022-02-24,958738.0378268665
101,2022-02-25,989086.6233256763
102,2022-02-28,988457.7075732654
103,2022-03-01,972534.6936076587
104,2022-03-02,989344.2174533313
105,2022-03-03,989189.7029574817
106,2022-03-04,988634.3014644092
107,2022-03-07,964040.2710803455
108,2022-03-08,957614.1999667591
109,2022-03-09,979184.3203586048
110,2022-03-10,976777.6578486866
111,2022-03-11,965147.356659264
112,2022-03-14,965350.9185985035
113,2022-03-15,977605.0135653919
114,2022-03-16,993061.526165337
115,2022-03-17,1008342.2886928028
116,2022-03-18,1018047.4998248523
117,2022-03-21,1016496.6886676258
118,2022-03-22,1024439.2095073169
119,2022-03-23,1014614.8857806629
120,2022-03-24,1029628.3030284351
121,2022-03-25,1035151.2951816028
122,2022-03-28,1034817.1084826892
123,2022-03-29,1040377.6740954822
124,2022-03-30,1040611.8058856433
125,2022-03-31,1023149.9517215198
126,2022-04-01,1026587.5349009937
127,2022-04-04,1031935.2060740894
128,2022-04-05,1024692.1135714954
129,2022-04-06,1025674.9339030689
130,2022-04-07,1028652.6193812793
131,2022-04-08,1032600.6721614307
132,2022-04-11,1018333.3549540943
133,2022-04-12,1016907.1648677295
