,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,999358.1792973516
2,2021-10-05,1000659.4565633733
3,2021-10-06,1000993.404074646
4,2021-10-07,1003801.2563515967
5,2021-10-08,1003999.7530842896
6,2021-10-11,1000626.3637647821
7,2021-10-12,998327.1458971445
8,2021-10-13,996904.5833800698
9,2021-10-14,1005577.1423941804
10,2021-10-15,1014890.218662346
11,2021-10-18,1014907.4203105585
12,2021-10-19,1019565.5879886324
13,2021-10-20,1026736.2595707094
14,2021-10-21,1028085.4017995608
15,2021-10-22,1031439.4666077882
16,2021-10-25,1030919.1439471284
17,2021-10-26,1031970.5578176271
18,2021-10-27,1020645.8272211725
19,2021-10-28,1031097.0713290484
20,2021-10-29,1031439.443081238
21,2021-11-01,1033956.6258671687
22,2021-11-02,1038239.0954714739
23,2021-11-03,1038776.074460129
24,2021-11-04,1032734.6819728968
25,2021-11-05,1038435.3628450739
26,2021-11-08,1045333.5924308359
27,2021-11-09,1042548.6627010233
28,2021-11-10,1036520.5162084238
29,2021-11-11,1034299.4470629198
30,2021-11-12,1040108.6353835146
31,2021-11-15,1040403.3561979105
32,2021-11-16,1034317.5246765978
33,2021-11-17,1027225.896069668
34,2021-11-18,1025977.9026521913
35,2021-11-19,1011899.2962173044
36,2021-11-22,1014368.173117119
37,2021-11-23,1024492.1226433603
38,2021-11-24,1022110.1197076761
39,2021-11-26,991154.7607893603
40,2021-11-29,993816.4506029894
41,2021-11-30,977922.492262211
42,2021-12-01,969545.388970196
43,2021-12-02,987981.4443721583
44,2021-12-03,987195.0849492266
45,2021-12-06,1007963.8351091272
46,2021-12-07,1022512.9065164339
47,2021-12-08,1025357.7728338854
48,2021-12-09,1025878.2171197779
49,2021-12-10,1028784.5832135507
50,2021-12-13,1019453.4086802409
51,2021-12-14,1021838.2158451959
52,2021-12-15,1034635.304375889
53,2021-12-16,1037522.8444631541
54,2021-12-17,1018879.7722384532
55,2021-12-20,1002137.2582225649
56,2021-12-21,1017436.7770020525
57,2021-12-22,1025657.5176583292
58,2021-12-23,1033092.7369659616
59,2021-12-27,1040501.0490359995
60,2021-12-28,1044168.2797568666
61,2021-12-29,1044935.6919115221
62,2021-12-30,1042607.7463453333
63,2021-12-31,1039508.2950739176
64,2022-01-03,1051205.0662654
65,2022-01-04,1061789.844215706
66,2022-01-05,1058190.3532804605
67,2022-01-06,1048637.8126846391
68,2022-01-07,1053238.5478796046
69,2022-01-10,1051303.8311358644
70,2022-01-11,1058966.3692914317
71,2022-01-12,1057119.775196129
72,2022-01-13,1057820.6230371133
73,2022-01-14,1052671.0571113855
74,2022-01-18,1033315.1961937601
75,2022-01-19,1018850.5960281565
76,2022-01-20,1012583.5565998232
77,2022-01-21,1000183.0480031092
78,2022-01-24,1000248.5430474664
79,2022-01-25,1001686.6449612047
80,2022-01-26,996724.6243158762
81,2022-01-27,992939.7222767565
82,2022-01-28,1000068.9129269182
83,2022-01-31,1016152.525679928
84,2022-02-01,1025462.9842992671
85,2022-02-02,1033585.8952696917
86,2022-02-03,1022087.4655868761
87,2022-02-04,1020653.8383627054
88,2022-02-07,1023677.782801903
89,2022-02-08,1035143.1372488139
90,2022-02-09,1044370.0188771707
91,2022-02-10,1031368.2218003885
92,2022-02-11,1014779.9660647318
93,2022-02-14,1008822.9573271791
94,2022-02-15,1023146.0450585444
95,2022-02-16,1021834.7071033252
96,2022-02-17,1000239.9754633143
97,2022-02-18,990794.7513907435
98,2022-02-22,979900.395216225
99,2022-02-23,968305.2733879588
100,2022-02-24,966343.1791956484
101,2022-02-25,996456.0172101366
102,2022-02-28,993331.6929002611
103,2022-03-01,970934.6719558985
104,2022-03-02,991749.0129978869
105,2022-03-03,990373.3020785487
106,2022-03-04,988497.5942206576
107,2022-03-07,965700.0990204508
108,2022-03-08,964096.8257447702
109,2022-03-09,984646.3504402697
110,2022-03-10,983516.7411337397
111,2022-03-11,975473.7755858386
112,2022-03-14,978683.8728569109
113,2022-03-15,995979.953991379
114,2022-03-16,1009617.4783968165
115,2022-03-17,1022656.6867692302
116,2022-03-18,1026693.1886329234
117,2022-03-21,1023220.7220088694
118,2022-03-22,1029283.7329953234
119,2022-03-23,1019164.1853215487
120,2022-03-24,1032065.1467497981
121,2022-03-25,1037839.629677685
122,2022-03-28,1035874.7977157519
123,2022-03-29,1041479.3154697764
124,2022-03-30,1045400.2920696604
125,2022-03-31,1029715.1227476428
126,2022-04-01,1032010.2465567248
127,2022-04-04,1031685.9266143267
128,2022-04-05,1024434.5783781168
129,2022-04-06,1027038.6430630648
130,2022-04-07,1028077.8069921457
131,2022-04-08,1034314.2279751094
132,2022-04-11,1024187.8444933322
133,2022-04-12,1022564.1387249606
134,2022-04-13,1033619.6926027529
135,2022-04-14,1033621.1306719439
136,2022-04-18,1035258.4495662806
137,2022-04-19,1049183.0310222171
138,2022-04-20,1057159.4020429042
139,2022-04-21,1046816.3264115641
140,2022-04-22,1013291.654663788
141,2022-04-25,1018904.2364354022
142,2022-04-26,994102.6158320353
143,2022-04-27,988663.8589206813
144,2022-04-28,1005565.2449127772
145,2022-04-29,981252.921729912
146,2022-05-02,981697.6436858294
147,2022-05-03,987534.5499694063
148,2022-05-04,1015155.1585713809
149,2022-05-05,984241.0089397357
150,2022-05-06,982733.4402528917
151,2022-05-09,962258.3791478312
152,2022-05-10,960339.9676431811
153,2022-05-11,950340.9007021143
154,2022-05-12,943426.479237076
155,2022-05-13,955320.8250706141
156,2022-05-16,956628.5986720622
157,2022-05-17,973041.4936485331
158,2022-05-18,942422.3790698131
159,2022-05-19,940827.9183709644
160,2022-05-20,936178.2572880405
161,2022-05-23,954452.3864776042
162,2022-05-24,955349.1461683086
163,2022-05-25,959399.3062099803
164,2022-05-26,973985.0922954219
165,2022-05-27,990706.890557194
166,2022-05-31,982717.7935661853
167,2022-06-01,974155.7088543056
