,a2c,ddpg,td3,ppo,sac,mean var,dji
2021-10-26,1031970.5578176271,1010865.8372013589,1057454.2342039796,1001503.6025765537,1043751.864467045,,1041671.0004376635
2021-10-27,1020645.8272211725,1000146.2222981072,1049756.438659676,1000809.2341720051,1034393.9709924661,,1033916.4142458431
2021-10-28,1031097.0713290484,1009420.4189953423,1059891.575313576,1001777.2286621326,1037700.3128236734,,1040901.9599721152
2021-10-29,1031439.443081238,1009627.1385273553,1060462.569480904,1001892.9323218503,1039575.5339044534,,1043496.9879058771
2021-11-01,1033956.6258671687,1020688.272968731,1064693.4517638322,1002603.6720600247,1040493.5507005655,,1046243.5935105638
2021-11-02,1038239.0954714739,1025974.7439392739,1069020.0271261828,1003081.2453047031,1041084.3102754556,,1050286.8027057296
2021-11-03,1038776.074460129,1026246.4293984108,1066805.2931481248,1002918.5245178187,1043553.4954256021,,1053344.1880546326
2021-11-04,1032734.6819728968,1023221.7639397316,1067559.1981926805,1003205.0970377122,1043100.5095437967,,1052372.7026367004
2021-11-05,1038435.3628450739,1028536.2447136574,1071391.0553856737,1002736.031847088,1054190.7003969157,,1058307.4464010203
2021-11-08,1045333.5924308359,1027062.0590831375,1077357.9449540025,1003189.0205369339,1063410.208243748,,1061345.0310631809
2021-11-09,1042548.6627010233,1023176.3331356506,1073644.2451516038,1002861.7859970094,1060218.3935464823,,1058075.300418523
2021-11-10,1036520.5162084238,1020290.9290967217,1057174.2267571336,1001555.295809391,1056874.8015245402,,1051082.471681035
2021-11-11,1034299.4470629198,1019383.3113037643,1052229.234779442,1002090.5465036085,1051616.0541376078,,1046458.8975296255
2021-11-12,1040108.6353835146,1026032.6263840294,1056562.849006737,1002817.3267978057,1055721.0848077738,,1051675.8095010067
2021-11-15,1040403.3561979105,1036276.8010017967,1055126.7785836107,1003421.103163887,1056673.7365144694,,1051301.1896116037
2021-11-16,1034317.5246765978,1027122.5153496361,1060862.4632607347,1002764.2378761559,1054052.7575792277,,1052896.7380530736
2021-11-17,1027225.896069668,1023577.2012398338,1053839.1569481737,1001880.2397035522,1052236.5604623759,,1046744.9833139386
2021-11-18,1025977.9026521913,1019846.2822449303,1052211.0807801133,1001191.4364219549,1050566.364127537,,1044994.1018988858
