datetime,portfolio_value,cash,positions,return
2023-03-03 08:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2023-03-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-03-03 09:30:00-05:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2023-03-04 09:30:00-05:00,100000.0,60029.00085449219,"[{'asset': USD, 'quantity': 60029.00085449219}, {'asset': SPY, 'quantity': 100.0}]",0.0
2023-03-04 09:29:00-05:00,100000.0,60029.00085449219,"[{'asset': USD, 'quantity': 60029.00085449219}, {'asset': SPY, 'quantity': 100.0}]",0.0
2023-03-06 08:30:00-05:00,100533.99963378906,60029.00085449219,"[{'asset': USD, 'quantity': 60029.00085449219}, {'asset': SPY, 'quantity': 100.0}]",0.005339996337890618
2023-03-06 09:30:00-05:00,100729.00085449219,100729.00085449219,"[{'asset': USD, 'quantity': 100729.00085449219}]",0.0019396544593217602
2023-03-06 09:30:00-05:00,100729.00085449219,100729.00085449219,"[{'asset': USD, 'quantity': 100729.00085449219}]",0.0
2023-03-07 09:30:00-05:00,100729.00085449219,100729.00085449219,"[{'asset': USD, 'quantity': 100729.00085449219}]",0.0
2023-03-08 09:30:00-05:00,100923.10046386719,160681.6026611328,"[{'asset': USD, 'quantity': 160681.6026611328}, {'asset': SPY, 'quantity': -150.0}]",0.0019269486218311815
2023-03-09 09:30:00-05:00,100720.60412597656,160681.6026611328,"[{'asset': USD, 'quantity': 160681.6026611328}, {'asset': SPY, 'quantity': -150.0}]",-0.0020064419043797077
2023-03-10 15:59:00-05:00,102033.10412597656,160681.6026611328,"[{'asset': USD, 'quantity': 160681.6026611328}, {'asset': SPY, 'quantity': -150.0}]",0.01303109737465813
2023-03-10 16:00:00-05:00,102033.10412597656,160681.6026611328,"[{'asset': USD, 'quantity': 160681.6026611328}, {'asset': SPY, 'quantity': -150.0}]",0.0
