account_rewards,date
-2838.0645141601562,2021-10-04
-5445.119000244187,2021-10-05
18473.325871276902,2021-10-06
-10194.712353515672,2021-10-07
12142.454660034273,2021-10-08
-13463.77382354741,2021-10-11
-5219.812477111816,2021-10-12
-10996.310470581055,2021-10-13
17345.286779785063,2021-10-14
11146.687940979144,2021-10-15
13458.603742980864,2021-10-18
-4828.8054702759255,2021-10-19
16467.175605773926,2021-10-20
33412.59070587158,2021-10-21
10825.113220214844,2021-10-22
-20434.737940978957,2021-10-25
-20828.052265930222,2021-10-26
-10503.685293579008,2021-10-27
-17380.131137084914,2021-10-28
-6493.981823730515,2021-10-29
2615.0905227661133,2021-11-01
-14203.918823242188,2021-11-02
-3589.980265808059,2021-11-03
24963.111706543015,2021-11-04
11828.993817138486,2021-11-05
10406.03394165053,2021-11-08
-2525.137742614839,2021-11-09
16203.934117126511,2021-11-10
-8041.231349182082,2021-11-11
11207.640058898833,2021-11-12
5434.87639465346,2021-11-15
-13711.30752868671,2021-11-16
-7414.312091064407,2021-11-17
-38691.38635253906,2021-11-18
7880.368211364839,2021-11-19
-22777.434059143066,2021-11-22
-17692.935908508254,2021-11-23
-20926.364234924316,2021-11-24
-27219.606045532273,2021-11-26
-34926.977587890695,2021-11-29
6315.232211303781,2021-11-30
-27278.252822875977,2021-12-01
40100.08938598633,2021-12-02
6090.545881652855,2021-12-03
34019.28709106438,2021-12-06
21448.163647460984,2021-12-07
-831.5729629516136,2021-12-08
9420.247470092727,2021-12-09
-18695.646862793015,2021-12-10
-26292.28611755371,2021-12-13
3556.5919082642067,2021-12-14
7940.407588195754,2021-12-15
-18820.399999999907,2021-12-16
-24688.100000000093,2021-12-17
4685.300000000047,2021-12-20
17131.2574707031,2021-12-21
20856.39847717283,2021-12-22
7015.1302352906205,2021-12-23
-8791.661743164062,2021-12-27
6274.932235717773,2021-12-28
-16.461999511811882,2021-12-29
-3223.7542358398205,2021-12-30
