,date,actions
0,2022-01-03,[100]
1,2022-01-04,[88]
2,2022-01-05,[-100]
3,2022-01-06,[93]
4,2022-01-07,[-49]
5,2022-01-10,[-25]
6,2022-01-11,[81]
7,2022-01-12,[0]
8,2022-01-13,[-100]
9,2022-01-14,[-100]
10,2022-01-18,[-37]
11,2022-01-19,[-100]
12,2022-01-20,[3]
13,2022-01-21,[-100]
14,2022-01-24,[39]
15,2022-01-25,[-5961]
16,2022-01-26,[0]
17,2022-01-27,[0]
18,2022-01-28,[0]
19,2022-01-31,[0]
20,2022-02-01,[13]
21,2022-02-02,[78]
22,2022-02-03,[-82]
23,2022-02-04,[-9]
24,2022-02-07,[0]
25,2022-02-08,[0]
26,2022-02-09,[0]
27,2022-02-10,[0]
28,2022-02-11,[0]
29,2022-02-14,[0]
30,2022-02-15,[0]
31,2022-02-16,[0]
32,2022-02-17,[42]
33,2022-02-18,[-6]
34,2022-02-22,[14]
35,2022-02-23,[13]
36,2022-02-24,[-63]
37,2022-02-25,[0]
38,2022-02-28,[0]
39,2022-03-01,[0]
40,2022-03-02,[0]
41,2022-03-03,[24]
42,2022-03-04,[-3]
43,2022-03-07,[-21]
44,2022-03-08,[0]
45,2022-03-09,[0]
46,2022-03-10,[0]
47,2022-03-11,[0]
48,2022-03-14,[0]
49,2022-03-15,[0]
50,2022-03-16,[0]
51,2022-03-17,[0]
52,2022-03-18,[0]
53,2022-03-21,[0]
54,2022-03-22,[0]
55,2022-03-23,[0]
56,2022-03-24,[100]
57,2022-03-25,[75]
58,2022-03-28,[-27]
59,2022-03-29,[-100]
60,2022-03-30,[17]
61,2022-03-31,[-65]
