Metric,SPY,Strategy
Risk-Free Rate,4.97%,4.97%
Time in Market,69.0%,60.0%
,,
Total Return,51%,78%
CAGR% (Annual Return),28.37%,41.53%
,,
Sharpe,1.63,1.8
RoMaD,2.85,3.19
Corr to Benchmark,1.0,0.5
Prob. Sharpe Ratio,91.21%,92.68%
Smart Sharpe,1.57,1.74
Sortino,2.47,2.77
Smart Sortino,2.38,2.68
Sortino/√2,1.74,1.96
Smart Sortino/√2,1.69,1.9
Omega,1.36,1.36
,,
Max Drawdown,-9.97%,-13.01%
Longest DD Days,121,119
Volatility (ann.),12.85%,17.43%
R^2,0.25,0.25
Information Ratio,0.04,0.04
Calmar,2.85,3.19
Skew,-0.06,0.05
Kurtosis,1.78,3.1
,,
Expected Daily%,0.07%,0.1%
Expected Monthly%,2.09%,2.92%
Expected Yearly%,22.99%,33.36%
Daily Value-at-Risk,-1.04%,-1.4%
Expected Shortfall (cVaR),-1.04%,-1.4%
,,
MTD,2.34%,0.69%
3M,8.21%,5.29%
6M,12.06%,9.37%
YTD,20.02%,17.31%
1Y,26.76%,26.44%
3Y (ann.),28.37%,41.53%
5Y (ann.),28.37%,41.53%
10Y (ann.),28.37%,41.53%
All-time (ann.),28.37%,41.53%
,,
Best Day,2.31%,4.47%
Worst Day,-2.91%,-4.4%
Best Month,9.13%,10.85%
Worst Month,-4.73%,-4.8%
Best Year,26.03%,51.6%
Worst Year,20.02%,17.31%
,,
Avg. Drawdown,-1.66%,-2.11%
Avg. Drawdown Days,13,12
Recovery Factor,4.29,4.62
Ulcer Index,0.03,0.04
Serenity Index,1.68,2.09
,,
Avg. Up Month,4.07%,5.2%
Avg. Down Month,-3.1%,-2.96%
Win Days,348.16,347.73
Loss Days,257.84,258.27
Win Days%,57.45%,57.38%
Win Month%,75.0%,75.0%
Win Quarter%,85.71%,71.43%
Win Year%,100.0%,100.0%
,,
Beta,-,0.68
Alpha,-,0.19
Correlation,-,50.23%
Treynor Ratio,-,106.95%
