time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-01 09:30:00-04:00,DiversifiedLeverage,c6104bef2d9e47e9b2d5ee651fe43af5,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,2cd4b0f90e404fbea89c72d395d3b60f,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,c5f2ade87d9340c5891566ee715c03e5,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,87feef1ea18b489f9b7444a9ee91ed15,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,ce5f47516bc44426bbdccc96f6a50831,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,8aee5866b48d4eb8bdc97b71e3f61db7,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,DiversifiedLeverage,c6104bef2d9e47e9b2d5ee651fe43af5,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,34.7400016784668,575.0,99.87750482559204
2023-06-01 09:30:00-04:00,DiversifiedLeverage,2cd4b0f90e404fbea89c72d395d3b60f,UPRO,buy,market,fill,1,gtc,0.0,1,stock,39.95000076293945,500.0,99.87500190734863
2023-06-01 09:30:00-04:00,DiversifiedLeverage,c5f2ade87d9340c5891566ee715c03e5,UDOW,buy,market,fill,1,gtc,0.0,1,stock,52.790000915527344,189.0,49.88655086517334
2023-06-01 09:30:00-04:00,DiversifiedLeverage,87feef1ea18b489f9b7444a9ee91ed15,TMF,buy,market,fill,1,gtc,0.0,1,stock,80.5999984741211,310.0,124.9299976348877
2023-06-01 09:30:00-04:00,DiversifiedLeverage,ce5f47516bc44426bbdccc96f6a50831,UGL,buy,market,fill,1,gtc,0.0,1,stock,61.70000076293945,162.0,49.977000617980956
2023-06-01 09:30:00-04:00,DiversifiedLeverage,8aee5866b48d4eb8bdc97b71e3f61db7,DIG,buy,market,fill,1,gtc,0.0,1,stock,31.329999923706055,478.0,74.87869981765748
2023-06-07 09:30:00-04:00,DiversifiedLeverage,63239382da234648a146a6864f1842fd,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-07 09:30:00-04:00,DiversifiedLeverage,20e55c1a5ecc4b8d98cb4f4413dcb4bd,UPRO,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-07 09:30:00-04:00,DiversifiedLeverage,2263c64235b0411ba1e74d550dd3b0ac,UDOW,sell,market,new,1,gtc,0.0,1,stock,,,
