Metric,SPY,Strategy
Risk-Free Rate,5.25%,5.25%
Time in Market,66.0%,71.0%
,,
Total Return,9%,12%
CAGR% (Annual Return),70.89%,106.99%
,,
Sharpe,5.1,2.85
RoMaD,32.89,17.48
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,97.92%,79.74%
Smart Sharpe,4.39,2.45
Sortino,10.56,4.88
Smart Sortino,9.08,4.2
Sortino/√2,7.46,3.45
Smart Sortino/√2,6.42,2.97
Omega,1.58,1.58
,,
Max Drawdown,-2.16%,-6.12%
Longest DD Days,14,25
Volatility (ann.),9.41%,24.36%
R^2,0.1,0.1
Information Ratio,0.05,0.05
Calmar,32.89,17.48
Skew,0.59,0.29
Kurtosis,0.36,0.61
,,
Expected Daily%,0.14%,0.2%
Expected Monthly%,4.27%,5.84%
Expected Yearly%,8.73%,12.03%
Daily Value-at-Risk,-0.66%,-1.89%
Expected Shortfall (cVaR),-0.66%,-1.89%
,,
MTD,3.08%,4.52%
3M,8.73%,12.03%
6M,8.73%,12.03%
YTD,8.73%,12.03%
1Y,8.73%,12.03%
3Y (ann.),70.89%,106.99%
5Y (ann.),70.89%,106.99%
10Y (ann.),70.89%,106.99%
All-time (ann.),70.89%,106.99%
,,
Best Day,1.45%,3.37%
Worst Day,-0.78%,-2.97%
Best Month,5.48%,7.19%
Worst Month,3.08%,4.52%
Best Year,8.73%,12.03%
Worst Year,8.73%,12.03%
,,
Avg. Drawdown,-0.75%,-1.98%
Avg. Drawdown Days,5,6
Recovery Factor,3.92,1.93
Ulcer Index,0.01,0.03
Serenity Index,1.52,0.56
,,
Avg. Up Month,4.28%,5.85%
Avg. Down Month,-,-
Win Days,38.16,28.29
Loss Days,19.84,29.71
Win Days%,65.79%,48.78%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.84
Alpha,-,0.3
Correlation,-,32.32%
Treynor Ratio,-,8.11%
