time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-06-01 09:30:00-04:00,DiversifiedLeverage,406b7aeb86fa439db0cefa74986bfe28,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,34a9886d66794aae8139e2af1792347a,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,402594b12e25454993e73a52bbbe21ab,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b3ef74a6c3a142698b9caecaadaeace8,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,2dc66df43f8e41ea97ed1cfb51db2919,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b93b3306fc604b4ca2f65414638ce31b,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,406b7aeb86fa439db0cefa74986bfe28,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.46921899914741516,42624.0,99.99995309829713
2010-06-01 09:30:00-04:00,DiversifiedLeverage,34a9886d66794aae8139e2af1792347a,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.8477779626846313,10823.0,99.99250445067882
2010-06-01 09:30:00-04:00,DiversifiedLeverage,402594b12e25454993e73a52bbbe21ab,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.314167022705078,3017.0,49.9942095375061
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b3ef74a6c3a142698b9caecaadaeace8,TMF,buy,market,fill,1,gtc,0.0,1,stock,100.5999984741211,248.0,124.74399810791016
2010-06-01 09:30:00-04:00,DiversifiedLeverage,2dc66df43f8e41ea97ed1cfb51db2919,UGL,buy,market,fill,1,gtc,0.0,1,stock,54.47999954223633,183.0,49.849199581146244
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b93b3306fc604b4ca2f65414638ce31b,DIG,buy,market,fill,1,gtc,0.0,1,stock,34.88750076293945,429.0,74.83368913650513
2010-06-07 09:30:00-04:00,DiversifiedLeverage,e6303782ad3c4365a33c0aea5cf86056,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c573f3c9d62a4ed5a5c38ab8ca138f07,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c9951d5194be40bebedb76819e5f3fa9,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,7ec832c433af4663a70acb093944d8a5,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,5b93655f0d9f4501960c95ab408576c3,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,a74e65eabe6c4014bd9116b9cc04384f,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,e6303782ad3c4365a33c0aea5cf86056,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4607810080051422,278.0,0.6404856011271477
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c573f3c9d62a4ed5a5c38ab8ca138f07,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.7799999713897705,139.0,1.2370999801158906
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c9951d5194be40bebedb76819e5f3fa9,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.2083330154418945,23.0,0.3689582967758179
2010-06-07 09:30:00-04:00,DiversifiedLeverage,7ec832c433af4663a70acb093944d8a5,TMF,sell,market,fill,1,gtc,0.0,1,stock,100.5,6.0,3.015
