Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,73.0%
,,
Total Return,445%,"1,219%"
CAGR% (Annual Return),13.77%,21.69%
,,
Sharpe,0.53,0.63
RoMaD,0.41,0.38
Corr to Benchmark,1.0,0.34
Prob. Sharpe Ratio,26.8%,23.98%
Smart Sharpe,0.52,0.62
Sortino,0.74,0.88
Smart Sortino,0.73,0.86
Sortino/√2,0.53,0.62
Smart Sortino/√2,0.51,0.61
Omega,1.12,1.12
,,
Max Drawdown,-33.68%,-56.59%
Longest DD Days,562,617
Volatility (ann.),17.42%,30.16%
R^2,0.12,0.12
Information Ratio,0.02,0.02
Calmar,0.41,0.38
Skew,-0.57,-0.74
Kurtosis,17.34,12.6
,,
Expected Daily%,0.04%,0.05%
Expected Monthly%,1.08%,1.65%
Expected Yearly%,12.87%,20.23%
Daily Value-at-Risk,-1.46%,-2.53%
Expected Shortfall (cVaR),-1.46%,-2.53%
,,
MTD,2.46%,6.35%
3M,10.06%,13.45%
6M,16.91%,17.64%
YTD,19.68%,37.98%
1Y,20.9%,18.35%
3Y (ann.),12.35%,6.52%
5Y (ann.),11.88%,11.6%
10Y (ann.),12.47%,17.1%
All-time (ann.),13.77%,21.69%
,,
Best Day,9.06%,11.96%
Worst Day,-10.94%,-18.87%
Best Month,12.7%,31.92%
Worst Month,-12.44%,-26.53%
Best Year,32.32%,68.14%
Worst Year,-18.16%,-48.1%
,,
Avg. Drawdown,-1.64%,-3.26%
Avg. Drawdown Days,17,20
Recovery Factor,5.63,5.62
Ulcer Index,0.07,0.16
Serenity Index,1.99,1.05
,,
Avg. Up Month,3.6%,6.75%
Avg. Down Month,-4.34%,-8.85%
Win Days,2640.49,2507.47
Loss Days,2155.51,2288.53
Win Days%,55.06%,52.28%
Win Month%,70.25%,66.46%
Win Quarter%,79.63%,72.22%
Win Year%,85.71%,78.57%
,,
Beta,-,0.59
Alpha,-,0.16
Correlation,-,33.96%
Treynor Ratio,-,2063.07%
