time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b0970fc75afe447b90e301c445783f54,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,ed8a9d38a2f7449f888876e8285e82f5,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,6b60427c385d4155851ca2d0d2189d41,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,ea044f5768294b79bf5174336bbaf684,TMF,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,8d52fb2a4a7340ce98d66c8ed05e8620,UGL,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,7ff64caccca147b9b3abe5842db52da1,DIG,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-01 09:30:00-04:00,DiversifiedLeverage,b0970fc75afe447b90e301c445783f54,TQQQ,buy,market,fill,1,gtc,0.0,1,stock,0.46921899914741516,42624.0,99.99995309829713
2010-06-01 09:30:00-04:00,DiversifiedLeverage,ed8a9d38a2f7449f888876e8285e82f5,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.8477779626846313,10823.0,99.99250445067882
2010-06-01 09:30:00-04:00,DiversifiedLeverage,6b60427c385d4155851ca2d0d2189d41,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.314167022705078,3017.0,49.9942095375061
2010-06-01 09:30:00-04:00,DiversifiedLeverage,ea044f5768294b79bf5174336bbaf684,TMF,buy,market,fill,1,gtc,0.0,1,stock,100.5999984741211,248.0,124.74399810791016
2010-06-01 09:30:00-04:00,DiversifiedLeverage,8d52fb2a4a7340ce98d66c8ed05e8620,UGL,buy,market,fill,1,gtc,0.0,1,stock,54.47999954223633,183.0,49.849199581146244
2010-06-01 09:30:00-04:00,DiversifiedLeverage,7ff64caccca147b9b3abe5842db52da1,DIG,buy,market,fill,1,gtc,0.0,1,stock,34.88750076293945,429.0,74.83368913650513
2010-06-07 09:30:00-04:00,DiversifiedLeverage,5bcf279cd375404eafcda8a4605e2a55,TQQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,47af1512c32f4b96bc89bd8df47491af,UPRO,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,d13d712d8af74a6ebcb9cff1dd816a19,UDOW,buy,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c9474cddab984f3a8bcb2e3865dfaf0a,TMF,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,fa41cf8695fe492f833faef37b62a2b7,UGL,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,8427cfc97a90402db29a0a5429a6a376,DIG,sell,market,new,1,gtc,0.0,1,stock,,,
2010-06-07 09:30:00-04:00,DiversifiedLeverage,5bcf279cd375404eafcda8a4605e2a55,TQQQ,sell,market,fill,1,gtc,0.0,1,stock,0.4607810080051422,278.0,0.6404856011271477
2010-06-07 09:30:00-04:00,DiversifiedLeverage,47af1512c32f4b96bc89bd8df47491af,UPRO,buy,market,fill,1,gtc,0.0,1,stock,1.7799999713897705,139.0,1.2370999801158906
2010-06-07 09:30:00-04:00,DiversifiedLeverage,d13d712d8af74a6ebcb9cff1dd816a19,UDOW,buy,market,fill,1,gtc,0.0,1,stock,3.2083330154418945,23.0,0.3689582967758179
2010-06-07 09:30:00-04:00,DiversifiedLeverage,c9474cddab984f3a8bcb2e3865dfaf0a,TMF,sell,market,fill,1,gtc,0.0,1,stock,100.5,6.0,3.015
2010-06-07 09:30:00-04:00,DiversifiedLeverage,fa41cf8695fe492f833faef37b62a2b7,UGL,sell,market,fill,1,gtc,0.0,1,stock,53.36000061035156,1.0,0.26680000305175783
2010-06-07 09:30:00-04:00,DiversifiedLeverage,8427cfc97a90402db29a0a5429a6a376,DIG,sell,market,fill,1,gtc,0.0,1,stock,34.20000076293945,2.0,0.34200000762939453
2010-06-11 09:30:00-04:00,DiversifiedLeverage,990a10f3473d492da00b889489e12725,TQQQ,buy,market,new,1,gtc,0.0,1,stock,,,
