time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,DriftRebalancer,3d3703f3ace04d8da8abbdc385212e9e,SPY,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,DriftRebalancer,1950dceb9cc347c9aa9971936f9ab407,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,DriftRebalancer,3d3703f3ace04d8da8abbdc385212e9e,SPY,buy,limit,fill,1,gtc,0.0,1,stock,384.3699951171875,155.0,0.0
2023-01-03 09:30:00-05:00,DriftRebalancer,1950dceb9cc347c9aa9971936f9ab407,TLT,buy,limit,fill,1,gtc,0.0,1,stock,102.19999694824219,389.0,0.0
2023-07-31 09:30:00-04:00,DriftRebalancer,066788bb23bc4c5c885cb565f863762d,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-07-31 09:30:00-04:00,DriftRebalancer,7bf01ee1ad1b40bfbaa0000f5dc15221,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-07-31 09:30:00-04:00,DriftRebalancer,066788bb23bc4c5c885cb565f863762d,SPY,sell,limit,fill,1,gtc,0.0,1,stock,456.2699890136719,10.0,0.0
2023-07-31 09:30:00-04:00,DriftRebalancer,7bf01ee1ad1b40bfbaa0000f5dc15221,TLT,buy,limit,fill,1,gtc,0.0,1,stock,98.83999633789062,9.0,0.0
2023-08-21 09:30:00-04:00,DriftRebalancer,849173fd755843d9a7ada6f6baf9f9cd,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,DriftRebalancer,2d34aa45c4954287b476152fe42f1f38,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,DriftRebalancer,849173fd755843d9a7ada6f6baf9f9cd,SPY,sell,limit,fill,1,gtc,0.0,1,stock,441.17999267578125,1.0,0.0
2023-08-21 09:30:00-04:00,DriftRebalancer,2d34aa45c4954287b476152fe42f1f38,TLT,buy,limit,fill,1,gtc,0.0,1,stock,92.63999938964844,50.0,0.0
2024-04-10 09:30:00-04:00,DriftRebalancer,7573afaafe4c45ada6637eae3ec589be,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2024-04-10 09:30:00-04:00,DriftRebalancer,fc2471cde001438c8a59f63899869bd7,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2024-04-10 09:30:00-04:00,DriftRebalancer,7573afaafe4c45ada6637eae3ec589be,SPY,sell,limit,fill,1,gtc,0.0,1,stock,515.6799926757812,9.0,0.0
2024-04-10 09:30:00-04:00,DriftRebalancer,fc2471cde001438c8a59f63899869bd7,TLT,buy,limit,fill,1,gtc,0.0,1,stock,90.37999725341797,13.0,0.0
2024-07-01 09:30:00-04:00,DriftRebalancer,13641e01111549249c1072eae0ed7b75,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2024-07-01 09:30:00-04:00,DriftRebalancer,c75744a5391d48a7ae37ba2df0b4fa9a,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2024-07-01 09:30:00-04:00,DriftRebalancer,13641e01111549249c1072eae0ed7b75,SPY,sell,limit,fill,1,gtc,0.0,1,stock,543.7000122070312,2.0,0.0
2024-07-01 09:30:00-04:00,DriftRebalancer,c75744a5391d48a7ae37ba2df0b4fa9a,TLT,buy,limit,fill,1,gtc,0.0,1,stock,90.68000030517578,54.0,0.0
