Metric,SPY,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,69.0%,60.0%
,,
Total Return,56%,28%
CAGR% (Annual Return),27.66%,14.44%
,,
Sharpe,1.64,0.93
RoMaD,2.78,1.25
Corr to Benchmark,1.0,0.45
Prob. Sharpe Ratio,93.74%,74.9%
Smart Sharpe,1.64,0.92
Sortino,2.48,1.37
Smart Sortino,2.47,1.37
Sortino/√2,1.75,0.97
Smart Sortino/√2,1.75,0.97
Omega,1.18,1.18
,,
Max Drawdown,-9.97%,-11.51%
Longest DD Days,121,140
Volatility (ann.),12.71%,10.49%
R^2,0.21,0.21
Information Ratio,-0.05,-0.05
Calmar,2.78,1.25
Skew,-0.1,0.13
Kurtosis,1.88,3.21
,,
Expected Daily%,0.07%,0.04%
Expected Monthly%,2.05%,1.12%
Expected Yearly%,24.95%,13.09%
Daily Value-at-Risk,-1.02%,-0.86%
Expected Shortfall (cVaR),-1.02%,-0.86%
,,
MTD,1.09%,-2.35%
3M,7.34%,1.94%
6M,14.44%,9.73%
YTD,23.88%,11.67%
1Y,41.47%,28.19%
3Y (ann.),27.66%,14.44%
5Y (ann.),27.66%,14.44%
10Y (ann.),27.66%,14.44%
All-time (ann.),27.66%,14.44%
,,
Best Day,2.31%,2.37%
Worst Day,-2.91%,-2.13%
Best Month,9.13%,8.87%
Worst Month,-4.73%,-5.1%
Best Year,26.03%,14.53%
Worst Year,23.88%,11.67%
,,
Avg. Drawdown,-1.49%,-1.67%
Avg. Drawdown Days,12,18
Recovery Factor,4.62,2.22
Ulcer Index,0.03,0.03
Serenity Index,1.96,0.56
,,
Avg. Up Month,3.76%,2.78%
Avg. Down Month,-2.98%,-3.25%
Win Days,383.02,375.82
Loss Days,283.98,291.18
Win Days%,57.42%,56.35%
Win Month%,77.27%,72.73%
Win Quarter%,87.5%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.37
Alpha,-,0.05
Correlation,-,45.38%
Treynor Ratio,-,62.71%
