time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,DriftRebalancer,b11a56fee4554bcd9cba3822c9068658,SPY,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,DriftRebalancer,5e2dcad3d57d425c8f3a0807e48996e4,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,DriftRebalancer,b11a56fee4554bcd9cba3822c9068658,SPY,buy,limit,fill,1,gtc,0.0,1,stock,384.3699951171875,168.0,0.0
2023-01-03 09:30:00-05:00,DriftRebalancer,5e2dcad3d57d425c8f3a0807e48996e4,TLT,buy,limit,fill,1,gtc,0.0,1,stock,102.19999694824219,340.0,0.0
2023-08-01 09:30:00-04:00,DriftRebalancer,8b13c9e5976b4776971f2c9abfd77ed0,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,DriftRebalancer,dc07bbc781044de4b9228b83395912f5,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,DriftRebalancer,8b13c9e5976b4776971f2c9abfd77ed0,SPY,sell,limit,fill,1,gtc,0.0,1,stock,453.25,10.0,0.0
2023-08-01 09:30:00-04:00,DriftRebalancer,dc07bbc781044de4b9228b83395912f5,TLT,buy,limit,fill,1,gtc,0.0,1,stock,97.04000091552734,9.0,0.0
2023-09-27 09:30:00-04:00,DriftRebalancer,f4f67c909dd04bc3b5b9f9dee1a15c45,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2023-09-27 09:30:00-04:00,DriftRebalancer,aaa4875b243d4120a91dfa7524f46245,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2023-09-27 09:30:00-04:00,DriftRebalancer,f4f67c909dd04bc3b5b9f9dee1a15c45,SPY,sell,limit,fill,1,gtc,0.0,1,stock,425.4800109863281,1.0,0.0
2023-09-27 09:30:00-04:00,DriftRebalancer,aaa4875b243d4120a91dfa7524f46245,TLT,buy,limit,fill,1,gtc,0.0,1,stock,87.62000274658203,52.0,0.0
2024-05-28 09:30:00-04:00,DriftRebalancer,aa3339a21a9d43f896b71851c9b4ff56,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2024-05-28 09:30:00-04:00,DriftRebalancer,bcd93f91dd6440a4b19422ba7531512e,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2024-05-28 09:30:00-04:00,DriftRebalancer,aa3339a21a9d43f896b71851c9b4ff56,SPY,sell,limit,fill,1,gtc,0.0,1,stock,525.6799926757812,9.0,0.0
2024-05-28 09:30:00-04:00,DriftRebalancer,bcd93f91dd6440a4b19422ba7531512e,TLT,buy,limit,fill,1,gtc,0.0,1,stock,89.33999633789062,13.0,0.0
2024-10-10 09:30:00-04:00,DriftRebalancer,37d9e3bfed3143948d3372f11de63c93,SPY,sell,limit,new,1,gtc,0.0,1,stock,,,
2024-10-10 09:30:00-04:00,DriftRebalancer,f8807dc258ba4f77a13f2c5e9b257f5c,TLT,buy,limit,new,1,gtc,0.0,1,stock,,,
2024-10-10 09:30:00-04:00,DriftRebalancer,37d9e3bfed3143948d3372f11de63c93,SPY,sell,limit,fill,1,gtc,0.0,1,stock,576.0499877929688,2.0,0.0
2024-10-10 09:30:00-04:00,DriftRebalancer,f8807dc258ba4f77a13f2c5e9b257f5c,TLT,buy,limit,fill,1,gtc,0.0,1,stock,93.4800033569336,55.0,0.0
