Metric,SPY,Strategy
Risk-Free Rate,0.05%,0.05%
Time in Market,69.0%,12.0%
,,
Total Return,56%,99%
CAGR% (Annual Return),12.15%,19.22%
,,
Sharpe,0.61,0.78
RoMaD,0.36,0.6
Corr to Benchmark,1.0,-0.17
Prob. Sharpe Ratio,88.25%,97.66%
Smart Sharpe,0.58,0.74
Sortino,0.86,1.79
Smart Sortino,0.81,1.7
Sortino/√2,0.61,1.26
Smart Sortino/√2,0.58,1.2
Omega,1.61,1.61
,,
Max Drawdown,-33.68%,-32.14%
Longest DD Days,708,1376
Volatility (ann.),22.8%,26.66%
R^2,0.03,0.03
Information Ratio,0.01,0.01
Calmar,0.36,0.6
Skew,-0.57,13.73
Kurtosis,16.07,347.03
,,
Expected Daily%,0.03%,0.05%
Expected Monthly%,0.96%,1.47%
Expected Yearly%,11.83%,18.7%
Daily Value-at-Risk,-1.92%,-2.24%
Expected Shortfall (cVaR),-1.92%,-2.24%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,19.22%
10Y (ann.),12.15%,19.22%
All-time (ann.),12.15%,19.22%
,,
Best Day,9.06%,36.62%
Worst Day,-10.94%,-9.57%
Best Month,12.7%,68.68%
Worst Month,-12.44%,-23.87%
Best Year,28.77%,98.55%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-2.17%,-9.15%
Avg. Drawdown Days,22,235
Recovery Factor,1.63,2.52
Ulcer Index,0.11,0.16
Serenity Index,0.32,0.29
,,
Avg. Up Month,5.77%,6.21%
Avg. Down Month,-3.11%,-3.43%
Win Days,766.19,805.43
Loss Days,658.81,619.57
Win Days%,53.77%,56.52%
Win Month%,61.7%,63.64%
Win Quarter%,68.75%,75.0%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.2
Alpha,-,0.24
Correlation,-,-17.08%
Treynor Ratio,-,-493.4%
