Metric,SPY,Strategy
Risk-Free Rate,1.52%,1.52%
Time in Market,69.0%,1.0%
,,
Total Return,56%,-4%
CAGR% (Annual Return),12.15%,-1.13%
,,
Sharpe,0.55,-1.85
RoMaD,0.36,-0.31
Corr to Benchmark,1.0,-0.02
Prob. Sharpe Ratio,73.86%,0.1%
Smart Sharpe,0.52,-1.73
Sortino,0.77,-1.94
Smart Sortino,0.72,-1.82
Sortino/√2,0.54,-1.37
Smart Sortino/√2,0.51,-1.29
Omega,0.13,0.13
,,
Max Drawdown,-33.68%,-3.67%
Longest DD Days,708,1424
Volatility (ann.),22.8%,1.42%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.36,-0.31
Skew,-0.57,-16.54
Kurtosis,16.07,383.78
,,
Expected Daily%,0.03%,-0.0%
Expected Monthly%,0.96%,-0.09%
Expected Yearly%,11.83%,-1.1%
Daily Value-at-Risk,-1.92%,-0.13%
Expected Shortfall (cVaR),-1.92%,-0.13%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,-1.13%
10Y (ann.),12.15%,-1.13%
All-time (ann.),12.15%,-1.13%
,,
Best Day,9.06%,0.75%
Worst Day,-10.94%,-1.91%
Best Month,12.7%,0.0%
Worst Month,-16.07%,-4.34%
Best Year,28.77%,0.0%
Worst Year,-18.51%,-4.34%
,,
Avg. Drawdown,-2.17%,-3.67%
Avg. Drawdown Days,22,1424
Recovery Factor,1.63,1.2
Ulcer Index,0.11,0.04
Serenity Index,0.31,-0.03
,,
Avg. Up Month,-,-
Avg. Down Month,-4.64%,-4.34%
Win Days,766.19,593.75
Loss Days,658.81,831.25
Win Days%,53.77%,41.67%
Win Month%,61.7%,0.0%
Win Quarter%,68.75%,0.0%
Win Year%,75.0%,0.0%
,,
Beta,-,-0.0
Alpha,-,-0.01
Correlation,-,-2.44%
Treynor Ratio,-,3839.3%
