time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,fee16fceda344f03a2e8a7cb32d9d9d5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,fee16fceda344f03a2e8a7cb32d9d9d5,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,d13fe91f178d4a9992b09158547d1180,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,d13fe91f178d4a9992b09158547d1180,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,07f9451333c14e6aab3287794f4cc782,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,07f9451333c14e6aab3287794f4cc782,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,0cb53b3b8cef4079bea20026fd5b3932,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,0cb53b3b8cef4079bea20026fd5b3932,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,f88138db9d4c4203873d403d17f1b85c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,f88138db9d4c4203873d403d17f1b85c,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,c54586c7c07e4052bd6e7959cef7c1da,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,5dbca133abdd413e9a21abe5b8ae68a0,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,66263f8addbd4fc798918dc0ec6d539e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,e82c1c1e005644808c7297d2dbd067ad,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,47fd8c5e95e34c0a9402230918b78e74,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,55abf0dee75247788268bfa61e53af5e,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,fee0679747ac4c278655d389538a3c9a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,13d7020680f0424bbcfe39bf57427325,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 08:30:00-04:00,MLTrader,11a6f121dde048c8ab6e2e3656447428,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,MLTrader,0db9213a40c94e20993e2bcea6ff315f,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,4766cd59bbdb4281b050af2b26ad95b8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,4766cd59bbdb4281b050af2b26ad95b8,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,a07ed00808e648c9847398f16a39fe05,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,a495411137b141ed88be4a009de9cad1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e809da4a08594fba82bc988f5f27eb6c,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,82bfaef024d44b9b97cf15a5ef61e758,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e809da4a08594fba82bc988f5f27eb6c,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,82bfaef024d44b9b97cf15a5ef61e758,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,a70caae86f0c4bf5b80f27de351b14f3,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,69005f1268c1448993f2e0bbdca09e60,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,87191273a25a47418f8dde26f4e05d28,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,22aa28ba56414b8eaf7e59d60bc5ef1a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,87191273a25a47418f8dde26f4e05d28,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,22aa28ba56414b8eaf7e59d60bc5ef1a,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,94.0,0.0
2020-06-16 09:30:00-04:00,MLTrader,fe866ef6e4da4346b35d92e0b0aee05c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,1ef78a862b824be6a302f175ffd17b2f,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,94.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,3a8a4478b9d445289083dc66b90c9a29,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,3a8a4478b9d445289083dc66b90c9a29,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,390.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,1c51405662d7450b89cd42bc30cb0898,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,7009b187e9524adebf61972b4f887d39,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,21e392c1ecea466c8ef080251613fca9,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,5d0efe081e5945a597de7507ccb1f181,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
