Metric,SPY,Strategy
Risk-Free Rate,-0.07%,-0.07%
Time in Market,69.0%,3.0%
,,
Total Return,56%,137%
CAGR% (Annual Return),12.15%,24.81%
,,
Sharpe,0.62,0.92
RoMaD,0.36,1.81
Corr to Benchmark,1.0,-0.41
Prob. Sharpe Ratio,89.1%,99.76%
Smart Sharpe,0.61,0.92
Sortino,0.86,2.88
Smart Sortino,0.86,2.87
Sortino/√2,0.61,2.04
Smart Sortino/√2,0.61,2.03
Omega,3.35,3.35
,,
Max Drawdown,-33.68%,-13.71%
Longest DD Days,708,18
Volatility (ann.),22.8%,27.63%
R^2,0.17,0.17
Information Ratio,0.01,0.01
Calmar,0.36,1.81
Skew,-0.57,16.93
Kurtosis,16.07,427.08
,,
Expected Daily%,0.03%,0.06%
Expected Monthly%,0.96%,1.86%
Expected Yearly%,11.83%,24.13%
Daily Value-at-Risk,-1.92%,-2.31%
Expected Shortfall (cVaR),-1.92%,-2.31%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,24.81%
10Y (ann.),12.15%,24.81%
All-time (ann.),12.15%,24.81%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-13.71%
Best Month,12.7%,81.47%
Worst Month,-12.44%,0.0%
Best Year,28.77%,137.4%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-2.17%,-5.66%
Avg. Drawdown Days,22,5
Recovery Factor,1.63,7.25
Ulcer Index,0.1,0.01
Serenity Index,0.32,146.93
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,766.19,796.32
Loss Days,658.81,628.68
Win Days%,53.77%,55.88%
Win Month%,61.7%,100.0%
Win Quarter%,68.75%,100.0%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.5
Alpha,-,0.32
Correlation,-,-40.93%
Treynor Ratio,-,-277.2%
