Metric,SPY,Strategy
Risk-Free Rate,0.12%,0.12%
Time in Market,69.0%,7.0%
,,
Total Return,56%,150%
CAGR% (Annual Return),12.15%,26.49%
,,
Sharpe,0.61,0.96
RoMaD,0.36,1.93
Corr to Benchmark,1.0,-0.4
Prob. Sharpe Ratio,87.71%,99.76%
Smart Sharpe,0.61,0.95
Sortino,0.85,2.89
Smart Sortino,0.85,2.87
Sortino/√2,0.6,2.04
Smart Sortino/√2,0.6,2.03
Omega,2.65,2.65
,,
Max Drawdown,-33.68%,-13.71%
Longest DD Days,708,1297
Volatility (ann.),22.8%,27.92%
R^2,0.16,0.16
Information Ratio,0.02,0.02
Calmar,0.36,1.93
Skew,-0.57,16.39
Kurtosis,16.07,409.36
,,
Expected Daily%,0.03%,0.06%
Expected Monthly%,0.96%,1.97%
Expected Yearly%,11.83%,25.76%
Daily Value-at-Risk,-1.92%,-2.33%
Expected Shortfall (cVaR),-1.92%,-2.33%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,26.49%
10Y (ann.),12.15%,26.49%
All-time (ann.),12.15%,26.49%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-13.71%
Best Month,12.7%,81.47%
Worst Month,-12.44%,-1.25%
Best Year,28.77%,150.1%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-2.17%,-4.12%
Avg. Drawdown Days,22,98
Recovery Factor,1.63,7.66
Ulcer Index,0.11,0.03
Serenity Index,0.32,14.9
,,
Avg. Up Month,7.93%,2.19%
Avg. Down Month,-,-
Win Days,766.19,829.95
Loss Days,658.81,595.05
Win Days%,53.77%,58.24%
Win Month%,61.7%,83.33%
Win Quarter%,68.75%,100.0%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.49
Alpha,-,0.34
Correlation,-,-39.74%
Treynor Ratio,-,-308.24%
