Metric,SPY,Strategy
Risk-Free Rate,0.1%,0.1%
Time in Market,69.0%,10.0%
,,
Total Return,56%,163%
CAGR% (Annual Return),12.15%,28.12%
,,
Sharpe,0.61,1.0
RoMaD,0.36,2.05
Corr to Benchmark,1.0,-0.39
Prob. Sharpe Ratio,87.86%,99.85%
Smart Sharpe,0.61,1.0
Sortino,0.85,2.94
Smart Sortino,0.85,2.94
Sortino/√2,0.6,2.08
Smart Sortino/√2,0.6,2.08
Omega,2.44,2.44
,,
Max Drawdown,-33.68%,-13.71%
Longest DD Days,708,1212
Volatility (ann.),22.8%,28.09%
R^2,0.15,0.15
Information Ratio,0.02,0.02
Calmar,0.36,2.05
Skew,-0.57,16.09
Kurtosis,16.07,399.43
,,
Expected Daily%,0.03%,0.07%
Expected Monthly%,0.96%,2.08%
Expected Yearly%,11.83%,27.34%
Daily Value-at-Risk,-1.92%,-2.34%
Expected Shortfall (cVaR),-1.92%,-2.34%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,28.12%
10Y (ann.),12.15%,28.12%
All-time (ann.),12.15%,28.12%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-13.71%
Best Month,12.7%,81.47%
Worst Month,-12.44%,-3.25%
Best Year,28.77%,162.93%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-2.17%,-3.38%
Avg. Drawdown Days,22,71
Recovery Factor,1.63,8.03
Ulcer Index,0.11,0.04
Serenity Index,0.32,5.77
,,
Avg. Up Month,7.69%,3.79%
Avg. Down Month,-3.73%,-3.25%
Win Days,766.19,863.32
Loss Days,658.81,561.68
Win Days%,53.77%,60.58%
Win Month%,61.7%,75.0%
Win Quarter%,68.75%,100.0%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.48
Alpha,-,0.35
Correlation,-,-39.13%
Treynor Ratio,-,-337.79%
