time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,9e489300ef144377aa8d70c01eafca00,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,9e489300ef144377aa8d70c01eafca00,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,d6647dec3a5e452f8228cda1708e1b89,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,d6647dec3a5e452f8228cda1708e1b89,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,11f508933bcb41f99c3c5542171197e0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,11f508933bcb41f99c3c5542171197e0,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,3f6dfa23483a4d789ac89878ef428f1a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,3f6dfa23483a4d789ac89878ef428f1a,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,b88fe005cc3145e0b6c6ead9df7ddf3d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,b88fe005cc3145e0b6c6ead9df7ddf3d,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,eee1f0cb32fd49feaa338fdb2e27fa2e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,de460fbea7934c168b9da483f85291c6,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,4de60d42fbc44ac9a05a0d8aad94b781,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,acbf0f9bc4b04e68b3f85c91c326153d,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,9b8dd013760841079bd2bb31a131ccb9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,86293e509d154eb589a103f7e477150b,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,b57b0ffa3743410ea8186e68d4a393db,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,a4851839409c45f6b70c68b36f58fe80,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 08:30:00-04:00,MLTrader,a5489a187809490387c860c1f3f51647,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,MLTrader,9d56c2422d944feda3f316978e93e345,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,830588394b21447683295af605f8cfe8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,830588394b21447683295af605f8cfe8,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,32527ca2b70145198b84185ca606199b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,7488dff36a60479ca584d583289092d3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3fda021dba5140ca9a6d31024ae5b046,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,895712d529734846afcec9d22ee6561e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3fda021dba5140ca9a6d31024ae5b046,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,895712d529734846afcec9d22ee6561e,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,d5503ce88ba94a00b157139f8d4f2b2a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,40703ac8130c4034a81524ab828520cb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,610c3e07792343a580e8cad1ca782fee,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,1f8a365d82794ac18627e251bac1466e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,610c3e07792343a580e8cad1ca782fee,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,1f8a365d82794ac18627e251bac1466e,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,94.0,0.0
2020-06-16 09:30:00-04:00,MLTrader,f3bbe7d17a2e422cbe82df2b46dcc513,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,2aa7ab8e4a7541ba87975c31da34569c,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,94.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,b919513b7f8e497b8bb34ba04c4dc84a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,b919513b7f8e497b8bb34ba04c4dc84a,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,390.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,72079da538ad48d6a8ca2aeb7ced5cdb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,5f8cfd9f912a4834bcb8fd1c79ac5b79,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,051ca965b434414dac7d363a0d25559f,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,11fe3d384be543fdab14e26b819c7b0a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,051ca965b434414dac7d363a0d25559f,SPY,buy,market,fill,1,day,0.0,1,stock,303.4700012207031,390.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,11fe3d384be543fdab14e26b819c7b0a,SPY,buy,market,fill,1,gtc,0.0,1,stock,303.4700012207031,594.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,36b810519585491b85ba5d10858fa14d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,36b810519585491b85ba5d10858fa14d,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4700012207031,93.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,579081467c7242f998bb7f1d14ad0eb3,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,314ad9589bda4fddace21057cfdb5c6e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,fda13cc2c9484e748779fb8d9c5a567c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,853eca3d9b6f4fbbb7522e6bf7537a7a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,93d2e489b3aa458d9c077fd35c6e5616,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,33a750e9910b4473bfd24d0a855a8e3f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
