Metric,SPY,Strategy
Risk-Free Rate,0.08%,0.08%
Time in Market,70.0%,63.0%
,,
Total Return,12%,152%
CAGR% (Annual Return),15.41%,230.4%
,,
Sharpe,0.57,2.16
RoMaD,0.46,16.8
Corr to Benchmark,1.0,-0.55
Prob. Sharpe Ratio,68.5%,99.75%
Smart Sharpe,0.56,2.15
Sortino,0.77,6.21
Smart Sortino,0.77,6.17
Sortino/√2,0.55,4.39
Smart Sortino/√2,0.54,4.36
Omega,2.15,2.15
,,
Max Drawdown,-33.68%,-13.71%
Longest DD Days,171,70
Volatility (ann.),37.51%,63.13%
R^2,0.3,0.3
Information Ratio,0.07,0.07
Calmar,0.46,16.8
Skew,-0.62,6.92
Kurtosis,9.1,75.43
,,
Expected Daily%,0.04%,0.33%
Expected Monthly%,1.11%,9.67%
Expected Yearly%,11.71%,151.78%
Daily Value-at-Risk,-3.17%,-5.06%
Expected Shortfall (cVaR),-3.17%,-5.06%
,,
MTD,9.23%,-6.05%
3M,7.61%,-4.08%
6M,22.99%,6.13%
YTD,11.71%,151.78%
1Y,11.71%,151.78%
3Y (ann.),15.41%,230.4%
5Y (ann.),15.41%,230.4%
10Y (ann.),15.41%,230.4%
All-time (ann.),15.41%,230.4%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-13.71%
Best Month,12.7%,81.47%
Worst Month,-12.44%,-6.05%
Best Year,11.71%,151.78%
Worst Year,11.71%,151.78%
,,
Avg. Drawdown,-5.09%,-3.57%
Avg. Drawdown Days,28,11
Recovery Factor,0.49,7.73
Ulcer Index,0.12,0.03
Serenity Index,0.13,15.4
,,
Avg. Up Month,7.69%,3.79%
Avg. Down Month,-3.73%,-2.19%
Win Days,165.2,158.29
Loss Days,117.8,124.71
Win Days%,58.38%,55.93%
Win Month%,60.0%,70.0%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.92
Alpha,-,1.56
Correlation,-,-54.82%
Treynor Ratio,-,-164.4%
