Metric,SPY,Strategy
Risk-Free Rate,0.08%,0.08%
Time in Market,69.0%,13.0%
,,
Total Return,56%,152%
CAGR% (Annual Return),12.15%,26.7%
,,
Sharpe,0.61,0.96
RoMaD,0.36,1.95
Corr to Benchmark,1.0,-0.4
Prob. Sharpe Ratio,87.99%,99.73%
Smart Sharpe,0.61,0.96
Sortino,0.86,2.76
Smart Sortino,0.85,2.76
Sortino/√2,0.61,1.95
Smart Sortino/√2,0.6,1.95
Omega,2.15,2.15
,,
Max Drawdown,-33.68%,-13.71%
Longest DD Days,708,1212
Volatility (ann.),22.8%,28.24%
R^2,0.16,0.16
Information Ratio,0.02,0.02
Calmar,0.36,1.95
Skew,-0.57,15.84
Kurtosis,16.07,391.24
,,
Expected Daily%,0.03%,0.06%
Expected Monthly%,0.96%,1.98%
Expected Yearly%,11.83%,25.97%
Daily Value-at-Risk,-1.92%,-2.36%
Expected Shortfall (cVaR),-1.92%,-2.36%
,,
MTD,4.57%,0.0%
3M,11.37%,0.0%
6M,9.76%,0.0%
YTD,26.74%,0.0%
1Y,28.14%,0.0%
3Y (ann.),9.9%,0.0%
5Y (ann.),12.15%,26.7%
10Y (ann.),12.15%,26.7%
All-time (ann.),12.15%,26.7%
,,
Best Day,9.06%,39.39%
Worst Day,-10.94%,-13.71%
Best Month,12.7%,81.47%
Worst Month,-12.44%,-6.05%
Best Year,28.77%,151.78%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-2.17%,-3.57%
Avg. Drawdown Days,22,71
Recovery Factor,1.63,7.73
Ulcer Index,0.11,0.08
Serenity Index,0.32,1.67
,,
Avg. Up Month,7.69%,3.79%
Avg. Down Month,-3.73%,-2.19%
Win Days,766.19,797.03
Loss Days,658.81,627.97
Win Days%,53.77%,55.93%
Win Month%,61.7%,70.0%
Win Quarter%,68.75%,75.0%
Win Year%,75.0%,100.0%
,,
Beta,-,-0.49
Alpha,-,0.34
Correlation,-,-39.83%
Treynor Ratio,-,-307.51%
