time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,1b3646c71c464284990ab47392a76049,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,1b3646c71c464284990ab47392a76049,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,3479e5967dba45a895eae3739722b828,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,3479e5967dba45a895eae3739722b828,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,123462e375f8479ab7ea38b8638fafa7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,123462e375f8479ab7ea38b8638fafa7,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,d58d6a8e454a4ae2a4ae70dfe5bec84d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,d58d6a8e454a4ae2a4ae70dfe5bec84d,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,f433d504684d425b9f017229dcf613cb,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,f433d504684d425b9f017229dcf613cb,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,d05973d750054aa1833f2f26d2b5f443,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,0bbb691d506a4aeabd061eb40723eac6,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,cf1865f0760746c1b4b5685e0b1a2669,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,f0b42c65dc3d479a8679eabf7685fee7,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,eaad6b77e4ff4f009d20d5834e34a0fc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,39861828968c432d9030e0db92d6935e,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,47e158a0acb048f8a0dda1b999526cf5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,f7866687fb43419ea733c76734e6db77,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 08:30:00-04:00,MLTrader,015607e2d5dd4104bb8f9d0d4c217713,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,MLTrader,c21df44359464583972a16ce39307cd9,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,406201f029c8436298e265d1683b1725,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,406201f029c8436298e265d1683b1725,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,3b26e4261be94aaaad723f89557b4406,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,471e9c24fa394a6da2b3c12febf2f204,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e6f626a59a7a41c6b87d0d1a415033b5,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,f8134e1c4ccc42c895f50bb536835a85,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e6f626a59a7a41c6b87d0d1a415033b5,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,428.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,f8134e1c4ccc42c895f50bb536835a85,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,b029933feda8455ebc44a0ada03b7d32,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,96dea3557f4948998716f8f86a07d962,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,38215c1df4b84f66900a136986fccb6a,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,61c1e567039546cf96db59c70eeb8b6d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,38215c1df4b84f66900a136986fccb6a,SPY,sell,market,fill,1,day,0.0,1,stock,298.0199890136719,624.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,61c1e567039546cf96db59c70eeb8b6d,SPY,sell,market,fill,1,gtc,0.0,1,stock,298.0199890136719,94.0,0.0
2020-06-16 09:30:00-04:00,MLTrader,6169e7c018b142f2b1f7328950ec74f9,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-16 09:30:00-04:00,MLTrader,8ce4ecb8b0704e7cbccac079dd0a3170,SPY,buy,stop,fill,1,day,0.0,1,stock,315.4800109863281,94.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,bcffafd4f3604db1b4098a6bdf212f68,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,bcffafd4f3604db1b4098a6bdf212f68,SPY,sell,market,fill,1,gtc,0.0,1,stock,307.989990234375,390.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,263bd9715f0a4334861d97eaf0cff03c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,49163618c2434b51a7fe7ee96460cd7f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,7224dc9ae40f4a41b59e13e7d2157474,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,4ffc74d4f1404d61b5ef4b142751bf85,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,7224dc9ae40f4a41b59e13e7d2157474,SPY,buy,market,fill,1,day,0.0,1,stock,303.4700012207031,390.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,4ffc74d4f1404d61b5ef4b142751bf85,SPY,buy,market,fill,1,gtc,0.0,1,stock,303.4700012207031,594.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,f5f9b1efd22c4773b78da3ad10e7dddd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
