time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-08 09:30:00-05:00,MLTrader,07df7123fff14b7abcbeabd0d61ecf22,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,MLTrader,07df7123fff14b7abcbeabd0d61ecf22,SPY,sell,market,fill,1,gtc,0.0,1,stock,468.42999267578125,107.0,0.0
2024-01-17 09:30:00-05:00,MLTrader,078b3ee98c674bff8527625195192319,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,MLTrader,078b3ee98c674bff8527625195192319,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,159.0,0.0
2024-02-02 09:30:00-05:00,MLTrader,df3afddf406540d9a6d9359bf1efd6e3,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,MLTrader,06eb566081e446c5950841a8bdfb1b54,SPY,buy,stop,fill,1,day,0.0,1,stock,491.85149230957035,107.0,0.0
2024-02-02 09:30:00-05:00,MLTrader,6d93abdb1573423794146f1781635246,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,MLTrader,697d13950c1e4abc8ab2cdc71f0f746e,SPY,buy,stop,fill,1,day,0.0,1,stock,495.4110076904297,159.0,0.0
2024-02-12 09:30:00-05:00,MLTrader,4e185eff44b443b0ac297c44b1f9a06b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 09:30:00-05:00,MLTrader,4e185eff44b443b0ac297c44b1f9a06b,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,94.0,0.0
2024-03-04 09:30:00-05:00,MLTrader,0964b27712a04ccfb052608dc73d3146,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-03-04 09:30:00-05:00,MLTrader,0964b27712a04ccfb052608dc73d3146,SPY,buy,market,fill,1,gtc,0.0,1,stock,512.030029296875,46.0,0.0
2024-04-11 09:30:00-04:00,MLTrader,dd4e30af7b604d68a669afb680892d2a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,f46c76e13cc047a782b0f96dce4af23d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,6d344bfccd764083b1f17d31abb8855a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,fc7c3ea3d59c4387bc7080b5b6751253,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,1f89696154dd41f29bcab67b6d1d963e,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,adcae4c88d444dadb25044a5d9427307,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-04-11 09:30:00-04:00,MLTrader,1f89696154dd41f29bcab67b6d1d963e,SPY,sell,market,fill,1,day,0.0,1,stock,514.3699951171875,140.0,0.0
2024-04-11 09:30:00-04:00,MLTrader,adcae4c88d444dadb25044a5d9427307,SPY,sell,market,fill,1,gtc,0.0,1,stock,514.3699951171875,22.0,0.0
2024-06-11 09:30:00-04:00,MLTrader,ab0849bc579f45a3b8ecf25ced32397a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-06-11 09:30:00-04:00,MLTrader,704e4b43b45d4af0992e29b473f4f126,SPY,buy,stop,fill,1,day,0.0,1,stock,541.6300048828125,22.0,0.0
2024-06-14 09:30:00-04:00,MLTrader,e0c4809223474c59adc11b52c2f49fd9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,e0c4809223474c59adc11b52c2f49fd9,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,87.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,0fcabfc54e2a4795be4be3bdd1ae7ffd,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,dff4df9cb2d442f99a1769649ccfd9a4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,29beee9def524897a33b6dac9b191833,SPY,sell,market,new,1,day,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,64d66b5c306d460f9b7845e0cf74a1ef,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-24 09:30:00-04:00,MLTrader,29beee9def524897a33b6dac9b191833,SPY,sell,market,fill,1,day,0.0,1,stock,543.989990234375,87.0,0.0
2024-06-24 09:30:00-04:00,MLTrader,64d66b5c306d460f9b7845e0cf74a1ef,SPY,sell,market,fill,1,gtc,0.0,1,stock,543.989990234375,44.0,0.0
2024-06-27 09:30:00-04:00,MLTrader,f576a91d9ac84f2e89c9927e229cca5c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-06-27 09:30:00-04:00,MLTrader,f576a91d9ac84f2e89c9927e229cca5c,SPY,sell,market,fill,1,gtc,0.0,1,stock,547.1599731445312,108.0,0.0
2024-09-18 09:30:00-04:00,MLTrader,a7a5cbe24d3b437fbd05acb64e92b8d8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-18 09:30:00-04:00,MLTrader,7d1552011b6e41f5a7edc454ea69515a,SPY,buy,stop,fill,1,day,0.0,1,stock,571.1894897460937,44.0,0.0
2024-09-25 09:30:00-04:00,MLTrader,06dd8a09a9c7472c8b16a0684317b22f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-09-25 09:30:00-04:00,MLTrader,9ab5c4f1638349c786b303bb354c13c7,SPY,buy,stop,fill,1,day,0.0,1,stock,574.5179718017579,108.0,0.0
2024-10-22 09:30:00-04:00,MLTrader,0773ddbfb9ff450188736a6ec7fc0395,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-22 09:30:00-04:00,MLTrader,0773ddbfb9ff450188736a6ec7fc0395,SPY,sell,market,fill,1,gtc,0.0,1,stock,581.260009765625,78.0,0.0
2024-11-04 09:30:00-05:00,MLTrader,f93e42ed71b543b390dd23dd5104619e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-11-04 09:30:00-05:00,MLTrader,f93e42ed71b543b390dd23dd5104619e,SPY,sell,market,fill,1,gtc,0.0,1,stock,571.1799926757812,119.0,0.0
2024-11-11 08:30:00-05:00,MLTrader,9e58b30fe0564cbbba5dd74e3bf5a96b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2024-11-11 08:30:00-05:00,MLTrader,123332c2342a416c9e0dad56d4fa53fe,SPY,buy,stop,fill,1,day,0.0,1,stock,599.8099975585938,119.0,0.0
2024-12-30 09:30:00-05:00,MLTrader,e0b39027b2dc45f18a4adad01f1747aa,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 09:30:00-05:00,MLTrader,e0b39027b2dc45f18a4adad01f1747aa,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,113.0,0.0
