Metric,SPY,Strategy
Risk-Free Rate,5.03%,5.03%
Time in Market,69.0%,1.0%
,,
Total Return,48%,-0%
CAGR% (Annual Return),28.16%,-0.01%
,,
Sharpe,1.66,-518.9
RoMaD,2.83,-
Corr to Benchmark,1.0,-0.05
Prob. Sharpe Ratio,91.57%,0.0%
Smart Sharpe,-,-
Sortino,2.54,-19.09
Smart Sortino,-,-
Sortino/√2,1.8,-13.5
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-9.97%,-
Longest DD Days,-,-
Volatility (ann.),12.42%,0.01%
R^2,0.0,0.0
Information Ratio,-0.11,-0.11
Calmar,2.83,-
Skew,0.03,-24.0
Kurtosis,1.38,576.0
,,
Expected Daily%,0.07%,-0.0%
Expected Monthly%,1.97%,-0.0%
Expected Yearly%,21.58%,-0.01%
Daily Value-at-Risk,-1.0%,-0.0%
Expected Shortfall (cVaR),-1.0%,-0.0%
,,
MTD,0.0%,0.0%
3M,10.08%,0.0%
6M,14.8%,0.0%
YTD,17.28%,0.0%
1Y,22.03%,0.0%
3Y (ann.),28.16%,-0.01%
5Y (ann.),28.16%,-0.01%
10Y (ann.),28.16%,-0.01%
All-time (ann.),28.16%,-0.01%
,,
Best Day,2.29%,0.0%
Worst Day,-2.27%,-0.01%
Best Month,9.13%,0.0%
Worst Month,-4.73%,-0.01%
Best Year,26.03%,0.0%
Worst Year,17.28%,-0.01%
,,
Avg. Drawdown,-1.56%,-
Avg. Drawdown Days,-,-
Recovery Factor,4.04,-
Ulcer Index,0.03,0.0
Serenity Index,1.63,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,328.93,0.0
Loss Days,247.07,576.0
Win Days%,57.11%,0.0%
Win Month%,73.68%,0.0%
Win Quarter%,85.71%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.0
Alpha,-,-0.0
Correlation,-,-4.51%
Treynor Ratio,-,146652.69%
