Metric,SPY,Strategy
Risk-Free Rate,1.52%,1.52%
Time in Market,70.0%,1.0%
,,
Total Return,12%,-1%
CAGR% (Annual Return),15.46%,-0.95%
,,
Sharpe,0.53,-2.95
RoMaD,0.46,-
Corr to Benchmark,1.0,-0.04
Prob. Sharpe Ratio,59.61%,0.6%
Smart Sharpe,-,-
Sortino,0.72,-2.92
Smart Sortino,-,-
Sortino/√2,0.51,-2.07
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-33.68%,-
Longest DD Days,-,-
Volatility (ann.),37.57%,0.83%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.46,-
Skew,-0.62,-16.79
Kurtosis,9.05,282.0
,,
Expected Daily%,0.04%,-0.0%
Expected Monthly%,1.11%,-0.07%
Expected Yearly%,11.71%,-0.73%
Daily Value-at-Risk,-3.18%,-0.07%
Expected Shortfall (cVaR),-3.18%,-0.07%
,,
MTD,8.02%,0.0%
3M,6.72%,0.0%
6M,22.99%,0.0%
YTD,11.71%,-0.73%
1Y,11.71%,-0.73%
3Y (ann.),15.46%,-0.95%
5Y (ann.),15.46%,-0.95%
10Y (ann.),15.46%,-0.95%
All-time (ann.),15.46%,-0.95%
,,
Best Day,9.06%,0.0%
Worst Day,-10.94%,-0.73%
Best Month,12.7%,0.0%
Worst Month,-16.07%,-0.73%
Best Year,11.71%,-0.73%
Worst Year,11.71%,-0.73%
,,
Avg. Drawdown,-5.09%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.49,-
Ulcer Index,0.12,0.0
Serenity Index,0.12,-
,,
Avg. Up Month,-,-
Avg. Down Month,-4.64%,-0.73%
Win Days,164.62,0.0
Loss Days,117.38,282.0
Win Days%,58.38%,0.0%
Win Month%,60.0%,0.0%
Win Quarter%,75.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-0.0
Alpha,-,-0.01
Correlation,-,-4.45%
Treynor Ratio,-,2282.4%
