time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,StockSentiment,39987a443a4f423e8dea878f73f4c811,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,StockSentiment,39987a443a4f423e8dea878f73f4c811,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,StockSentiment,113650c6c7224326a3889f339623ca4a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,StockSentiment,113650c6c7224326a3889f339623ca4a,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,StockSentiment,c50716134c2247d49dfac8b7f44ac022,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,StockSentiment,c50716134c2247d49dfac8b7f44ac022,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,StockSentiment,7a4c1b84f4364b9999355e42f9795a9d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,StockSentiment,7a4c1b84f4364b9999355e42f9795a9d,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,StockSentiment,5caf1dcec4dc474f817be55c8b218667,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,StockSentiment,5caf1dcec4dc474f817be55c8b218667,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,2fc0e284a5c24cfe9030fe990c581c84,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,c950e0ab4b2140548f252af99ef3a142,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,8b50ed22ead0416f96de65d3545c69ff,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,ea3d8053524645ff82b0f43b33055fb4,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,d1f6d405e5df4d86acdacfc3b8586841,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,70bb01514f604ee6941e0ffbb42e1984,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,StockSentiment,41940848895c4d288de40208f6a851a3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,StockSentiment,3cbc11658eec4b2693ce25644c9029ee,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,StockSentiment,daa8982b416942caaf84a9d2ff3a4130,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,StockSentiment,daa8982b416942caaf84a9d2ff3a4130,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,98d701242bd84e8bb9a3876fa85366cc,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,6a45e9b989354939a33cfea1fe876663,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,423ad478250b41bbb148ef2e31abbf17,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,22414ab8445f43239f69b90aa61e904a,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,19dbce54df504e2cb43c4c9e207bdc97,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,ac5abf8ca2fd47e286ebbd0083c0cc4c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,19dbce54df504e2cb43c4c9e207bdc97,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1675.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,ac5abf8ca2fd47e286ebbd0083c0cc4c,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1137.0,0.0
2020-05-13 09:30:00-04:00,StockSentiment,a57f86d4493e46878734500c4dcca9ff,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,StockSentiment,de238f0ac8184ab790675f9056225c09,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,1137.0,0.0
2020-06-15 09:30:00-04:00,StockSentiment,c1107d31e36f4b9ea709b5d997a4b7a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,StockSentiment,c1107d31e36f4b9ea709b5d997a4b7a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,250.0,0.0
2020-06-22 09:30:00-04:00,StockSentiment,1dac68c20f544e2896c57da1d8483284,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,StockSentiment,1dac68c20f544e2896c57da1d8483284,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,378.0,0.0
2020-06-25 09:30:00-04:00,StockSentiment,5bac5ffce38a436cb0dd397c7d82aecb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,2beb9ac2633f4647b54d516390adab57,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,5d0fecb9bc7d48ea88f09bf8ab63f12b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,62b2280e19bd428ebe2eadf3ed204e81,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,de83d37a3a194f2cbc936d6d08985373,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,1480da5740d24cd7a75895fb37b607b7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,de83d37a3a194f2cbc936d6d08985373,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
