time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,StockSentiment,f21c5ab92b584156b46074eb2b19f451,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,StockSentiment,f21c5ab92b584156b46074eb2b19f451,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,StockSentiment,47b82543013044e1886d77b2dc3ff77f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,StockSentiment,47b82543013044e1886d77b2dc3ff77f,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,StockSentiment,1ceb13b77d5d4941acce1a83c97ef3d1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,StockSentiment,1ceb13b77d5d4941acce1a83c97ef3d1,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,StockSentiment,5546ada6a6674539b204353d36ce1657,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,StockSentiment,5546ada6a6674539b204353d36ce1657,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,StockSentiment,d9f5637d468941cf9715959df2c87a7f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,StockSentiment,d9f5637d468941cf9715959df2c87a7f,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,38a5fc8eb2c84376b2b862bffd2b9bff,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,ce86b8ee30094845a1d9997f437bd231,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,b694398f996d4b5ba4bdfa383c92cd19,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,0935bdddf4a54435ad038d7db2e5e4de,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,f313e93a38f3493ab418e60cb15e472e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,afbeba5db2b74c2b9e413fa3c861d926,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,StockSentiment,c81c4159766d435080c998261e809609,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,StockSentiment,40a22c3cc8ed421aadd79f67aac92843,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,StockSentiment,f703dced826648d9b1c6befa05df3182,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,StockSentiment,f703dced826648d9b1c6befa05df3182,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,01078f1c422549c291a8bdb0e5b9262b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,5ff9e458296f4289876838862976bc94,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,3e46bd559c3541c5b572ebc7fcc209cb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,587bfeec493146f3a6b65b702fd3f550,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,105303dc899e40828191d3106e8712ea,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,de35064dcf6740e8813709264c3cc777,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,105303dc899e40828191d3106e8712ea,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1675.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,de35064dcf6740e8813709264c3cc777,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1137.0,0.0
2020-05-13 09:30:00-04:00,StockSentiment,09d736e6296245f6903f7a3000a0e74d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,StockSentiment,b6c5facebf564d7bb1fd65c323e4ea15,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,1137.0,0.0
2020-06-15 09:30:00-04:00,StockSentiment,8375931c147d45d486353861da258ef9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,StockSentiment,8375931c147d45d486353861da258ef9,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,250.0,0.0
2020-06-22 09:30:00-04:00,StockSentiment,2eb85d20bb3048abbe98caedfc811aae,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,StockSentiment,2eb85d20bb3048abbe98caedfc811aae,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,378.0,0.0
