time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,StockSentiment,ca36be473912435886591c6d0961c156,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,StockSentiment,ca36be473912435886591c6d0961c156,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,StockSentiment,20d846e2eef64e61817fd93c0e51cea4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,StockSentiment,20d846e2eef64e61817fd93c0e51cea4,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,StockSentiment,7fe7ba991ed94f6ca6312a790b3e8893,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,StockSentiment,7fe7ba991ed94f6ca6312a790b3e8893,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,StockSentiment,d954f38274c94c8684e6bee203d5706c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,StockSentiment,d954f38274c94c8684e6bee203d5706c,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,StockSentiment,6ba7e358101f46038c80ee4ba2d68e97,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,StockSentiment,6ba7e358101f46038c80ee4ba2d68e97,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,f25b9c2fc09a4813bf38dd7dafd3ff6a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,a06ec21b563340f99682234090fd49f5,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,73fc14e8ce9245f098974c3ee93cfba8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,055424ed3ef34d549310909568d39978,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,92f7cfc253da4fd88ec06b2b9500430e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,4a1a7e6cd2a142bfb11b82908de7f744,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,StockSentiment,795b63e80a0e4e8590b45b8291746300,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,StockSentiment,0ce8c4b8e93b47a5827193942d726ba7,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,StockSentiment,06f9a7dddf6849d2bde242860e08517a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,StockSentiment,06f9a7dddf6849d2bde242860e08517a,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,f11ed55d872d413aab0eceab9698fa45,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,6121ce8427f74b6296160c80aabba8bf,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,8e02b0c81e7e463f8075b484f44d0803,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,a18877de01e3467f9d21c10e1997b059,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,21c72fee5dc448dba342b2eb0b30ca0f,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,0a792918ef0840319ab344b06772f926,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,21c72fee5dc448dba342b2eb0b30ca0f,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,1675.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,0a792918ef0840319ab344b06772f926,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,1137.0,0.0
2020-05-13 09:30:00-04:00,StockSentiment,87ba92f2d768462b8078fe841380941c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-05-13 09:30:00-04:00,StockSentiment,90140967d7e24eabba7f783c33442f00,SPY,sell,stop,fill,1,day,0.0,1,stock,276.46898956298827,1137.0,0.0
2020-06-15 09:30:00-04:00,StockSentiment,814fc486ce484e6c9792a704435d55aa,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,StockSentiment,814fc486ce484e6c9792a704435d55aa,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,250.0,0.0
2020-06-22 09:30:00-04:00,StockSentiment,49a85a562ad247b189c8111a23a16167,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,StockSentiment,49a85a562ad247b189c8111a23a16167,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,378.0,0.0
2020-06-25 09:30:00-04:00,StockSentiment,348d2c671b914dd1bd496f9d78fd9433,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,7aca4399c4e44cafb904b0e4f6b2bfc7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,5444b404717c4c5cab31ede560f01fe0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,f093176f372b49a4b0f0844b63f0fa3b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,6df8c6a9db2744698fb6811d939fb294,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,cc0aea670dec46e58d55adb1b54d2ce3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,StockSentiment,6df8c6a9db2744698fb6811d939fb294,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,StockSentiment,cc0aea670dec46e58d55adb1b54d2ce3,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
