time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,StockSentiment,572085557b54461f801d12d8bd637f32,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,StockSentiment,572085557b54461f801d12d8bd637f32,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,StockSentiment,7718b32001464cb1a299000f95fd616a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,StockSentiment,7718b32001464cb1a299000f95fd616a,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,StockSentiment,d8ee27c0035049319e93587389b93b85,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,StockSentiment,d8ee27c0035049319e93587389b93b85,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,StockSentiment,546be9dfcc27469abd272be2dc845bd9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,StockSentiment,546be9dfcc27469abd272be2dc845bd9,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,StockSentiment,614c33f9cb2d413ca71c495f3818ebe6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,StockSentiment,614c33f9cb2d413ca71c495f3818ebe6,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,890.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,8bffdd8d9e0d4cdeb18f9c67e2cc0868,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,f7b66bc11c7d44ab9a2c57d5423e665f,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,72d3d8d79a684fa99c0152e575587dc0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,92fc8e7d184f4be0b2a98e0d3cbae732,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-11 09:30:00-04:00,StockSentiment,35ffe702a44940118db1b2c4229dfbac,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,StockSentiment,a991ff1656be4175849285fe132b7b9c,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-17 09:30:00-04:00,StockSentiment,000516d3778c44f9aaa3af1f2b019636,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,StockSentiment,2984ac906f24403ca67812acf4cdc9f9,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-04-13 09:30:00-04:00,StockSentiment,d30815c5b6ee41ffadda580bc69021a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,StockSentiment,d30815c5b6ee41ffadda580bc69021a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,785.0,0.0
2020-04-27 09:30:00-04:00,StockSentiment,9116ff70acc24ff29cbf867164e34444,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,71fbf3c7ad684921a1e501bd70b12595,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,da0bb20d870c4b26941e5a27c4199322,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,7938b8305d54465abd8cd3cd130f8774,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,StockSentiment,5e2c5b972c9c428d839ab435142d7f1d,SPY,buy,market,new,1,day,0.0,1,stock,,,
