Metric,SPY,Strategy
Risk-Free Rate,0.08%,0.08%
Time in Market,70.0%,53.0%
,,
Total Return,12%,92%
CAGR% (Annual Return),15.41%,132.17%
,,
Sharpe,0.57,1.67
RoMaD,0.46,4.11
Corr to Benchmark,1.0,-0.24
Prob. Sharpe Ratio,68.5%,97.03%
Smart Sharpe,0.54,1.6
Sortino,0.77,3.85
Smart Sortino,0.74,3.68
Sortino/√2,0.55,2.72
Smart Sortino/√2,0.52,2.6
Omega,1.6,1.6
,,
Max Drawdown,-33.68%,-32.14%
Longest DD Days,171,234
Volatility (ann.),37.51%,59.64%
R^2,0.06,0.06
Information Ratio,0.05,0.05
Calmar,0.46,4.11
Skew,-0.62,6.02
Kurtosis,9.1,67.05
,,
Expected Daily%,0.04%,0.23%
Expected Monthly%,1.11%,6.72%
Expected Yearly%,11.71%,91.7%
Daily Value-at-Risk,-3.17%,-4.86%
Expected Shortfall (cVaR),-3.17%,-4.86%
,,
MTD,9.23%,9.0%
3M,7.61%,6.49%
6M,22.99%,7.92%
YTD,11.71%,91.7%
1Y,11.71%,91.7%
3Y (ann.),15.41%,132.17%
5Y (ann.),15.41%,132.17%
10Y (ann.),15.41%,132.17%
All-time (ann.),15.41%,132.17%
,,
Best Day,9.06%,36.62%
Worst Day,-10.94%,-9.57%
Best Month,12.7%,68.68%
Worst Month,-12.44%,-23.87%
Best Year,11.71%,91.7%
Worst Year,11.71%,91.7%
,,
Avg. Drawdown,-5.09%,-9.15%
Avg. Drawdown Days,28,44
Recovery Factor,0.49,2.41
Ulcer Index,0.12,0.22
Serenity Index,0.13,0.3
,,
Avg. Up Month,5.87%,6.83%
Avg. Down Month,-3.11%,-3.43%
Win Days,165.2,158.71
Loss Days,117.8,124.29
Win Days%,58.38%,56.08%
Win Month%,60.0%,60.0%
Win Quarter%,75.0%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.38
Alpha,-,1.08
Correlation,-,-23.72%
Treynor Ratio,-,-242.93%
