Metric,SPY,Strategy
Risk-Free Rate,0.09%,0.09%
Time in Market,70.0%,34.0%
,,
Total Return,12%,81%
CAGR% (Annual Return),15.46%,115.66%
,,
Sharpe,0.57,1.58
RoMaD,0.46,3.6
Corr to Benchmark,1.0,-0.3
Prob. Sharpe Ratio,68.47%,96.37%
Smart Sharpe,0.54,1.5
Sortino,0.78,3.81
Smart Sortino,0.74,3.62
Sortino/√2,0.55,2.7
Smart Sortino/√2,0.52,2.56
Omega,1.73,1.73
,,
Max Drawdown,-33.68%,-32.14%
Longest DD Days,171,233
Volatility (ann.),37.57%,58.03%
R^2,0.09,0.09
Information Ratio,0.05,0.05
Calmar,0.46,3.6
Skew,-0.62,6.59
Kurtosis,9.05,75.57
,,
Expected Daily%,0.04%,0.21%
Expected Monthly%,1.11%,6.1%
Expected Yearly%,11.71%,80.7%
Daily Value-at-Risk,-3.18%,-4.74%
Expected Shortfall (cVaR),-3.18%,-4.74%
,,
MTD,8.02%,0.0%
3M,6.72%,-0.08%
6M,22.99%,1.73%
YTD,11.71%,80.7%
1Y,11.71%,80.7%
3Y (ann.),15.46%,115.66%
5Y (ann.),15.46%,115.66%
10Y (ann.),15.46%,115.66%
All-time (ann.),15.46%,115.66%
,,
Best Day,9.06%,36.62%
Worst Day,-10.94%,-9.57%
Best Month,12.7%,68.68%
Worst Month,-12.44%,-23.87%
Best Year,11.71%,80.7%
Worst Year,11.71%,80.7%
,,
Avg. Drawdown,-5.09%,-9.15%
Avg. Drawdown Days,28,44
Recovery Factor,0.49,2.2
Ulcer Index,0.12,0.22
Serenity Index,0.13,0.26
,,
Avg. Up Month,4.75%,4.59%
Avg. Down Month,-,-
Win Days,164.62,151.39
Loss Days,117.38,130.61
Win Days%,58.38%,53.68%
Win Month%,60.0%,71.43%
Win Quarter%,75.0%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.47
Alpha,-,1.02
Correlation,-,-30.14%
Treynor Ratio,-,-173.18%
