Metric,SPY,Strategy
Risk-Free Rate,4.8%,4.8%
Time in Market,67.0%,67.0%
,,
Total Return,-3%,2%
CAGR% (Annual Return),-90.15%,334.61%
,,
Sharpe,-11.28,10.88
RoMaD,-28.24,1667.68
Corr to Benchmark,1.0,0.58
Prob. Sharpe Ratio,0.12%,99.23%
Smart Sharpe,-6.91,6.66
Sortino,-10.4,70.87
Smart Sortino,-6.37,43.42
Sortino/√2,-7.35,50.12
Smart Sortino/√2,-4.51,30.7
Omega,9.14,9.14
,,
Max Drawdown,-3.19%,-0.2%
Longest DD Days,4,1
Volatility (ann.),17.38%,10.89%
R^2,0.34,0.34
Information Ratio,1.17,1.17
Calmar,-28.24,1667.68
Skew,-1.0,1.18
Kurtosis,-1.57,0.41
,,
Expected Daily%,-0.53%,0.34%
Expected Monthly%,-3.12%,2.03%
Expected Yearly%,-3.12%,2.03%
Daily Value-at-Risk,-2.02%,-0.6%
Expected Shortfall (cVaR),-2.02%,-0.6%
,,
MTD,-3.12%,2.03%
3M,-3.12%,2.03%
6M,-3.12%,2.03%
YTD,-3.12%,2.03%
1Y,-3.12%,2.03%
3Y (ann.),-90.15%,334.61%
5Y (ann.),-90.15%,334.61%
10Y (ann.),-90.15%,334.61%
All-time (ann.),-90.15%,334.61%
,,
Best Day,0.16%,1.3%
Worst Day,-1.84%,-0.2%
Best Month,-3.12%,2.03%
Worst Month,-3.12%,2.03%
Best Year,-3.12%,2.03%
Worst Year,-3.12%,2.03%
,,
Avg. Drawdown,-3.19%,-0.2%
Avg. Drawdown Days,4,1
Recovery Factor,0.99,10.09
Ulcer Index,0.02,0.0
Serenity Index,-0.84,-104.95
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,3.0,4.5
Loss Days,3.0,1.5
Win Days%,50.0%,75.0%
Win Month%,0.0%,100.0%
Win Quarter%,0.0%,100.0%
Win Year%,0.0%,100.0%
,,
Beta,-,0.37
Alpha,-,1.93
Correlation,-,58.39%
Treynor Ratio,-,-7.57%
