time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,9b11d6af3351441b856bc82e8619238a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,9b11d6af3351441b856bc82e8619238a,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,f37e4190e6564037a4ab366fd9b38c5f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,f37e4190e6564037a4ab366fd9b38c5f,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,bbba08f0b4ae48cc8b8eaf6f923a9848,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,bbba08f0b4ae48cc8b8eaf6f923a9848,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,5688c348c7a14e35b0e75d70bfe6979b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,5688c348c7a14e35b0e75d70bfe6979b,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,e8838838e32a41d993b805c31c9bd36d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,e8838838e32a41d993b805c31c9bd36d,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,602a68b354784f12bd15e2fd4ceb647f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,4420e588cd854dc8a2b06f55ccf40bba,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,155.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,f9de33df00414bb1a61e6d3b695d7688,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,691f47dde5564c14b0acf5b4a0c8a23d,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,227.0,0.0
2020-03-12 09:30:00-04:00,MLTrader,28ca0ff1c80241dfae24f04d2f071fa5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,MLTrader,62bd88864b2c44f2b7e5aa34431f32ce,SPY,buy,limit,fill,1,day,0.0,1,stock,256.0,335.0,0.0
2020-03-18 09:30:00-04:00,MLTrader,45c16923cb7a4963ae5cb655a0faac8e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-18 09:30:00-04:00,MLTrader,b6acd0c52deb45f0a0fdacd8cc61e395,SPY,buy,limit,fill,1,day,0.0,1,stock,234.5199951171875,576.0,0.0
2020-03-23 08:30:00-04:00,MLTrader,7af386e9db9b460ab14dbc61fc1b1f71,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,MLTrader,021b9e0f06f94c048f642b8b04629fd4,SPY,buy,limit,fill,1,day,0.0,1,stock,220.239990234375,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,e446878786404ecaa90771b580717d91,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,e446878786404ecaa90771b580717d91,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,428.0,0.0
