Metric,SPY,Strategy
Risk-Free Rate,4.4%,4.4%
Time in Market,69.0%,60.0%
,,
Total Return,56%,25%
CAGR% (Annual Return),27.66%,12.94%
,,
Sharpe,1.64,0.8
RoMaD,2.78,1.08
Corr to Benchmark,1.0,0.43
Prob. Sharpe Ratio,93.74%,69.14%
Smart Sharpe,1.63,0.79
Sortino,2.48,1.18
Smart Sortino,2.46,1.17
Sortino/√2,1.75,0.84
Smart Sortino/√2,1.74,0.83
Omega,1.15,1.15
,,
Max Drawdown,-9.97%,-12.0%
Longest DD Days,121,140
Volatility (ann.),12.71%,10.5%
R^2,0.19,0.19
Information Ratio,-0.05,-0.05
Calmar,2.78,1.08
Skew,-0.1,0.14
Kurtosis,1.88,3.32
,,
Expected Daily%,0.07%,0.03%
Expected Monthly%,2.05%,1.01%
Expected Yearly%,24.95%,11.74%
Daily Value-at-Risk,-1.02%,-0.87%
Expected Shortfall (cVaR),-1.02%,-0.87%
,,
MTD,1.09%,-2.84%
3M,7.34%,1.6%
6M,14.44%,9.38%
YTD,23.88%,10.5%
1Y,41.47%,27.0%
3Y (ann.),27.66%,12.94%
5Y (ann.),27.66%,12.94%
10Y (ann.),27.66%,12.94%
All-time (ann.),27.66%,12.94%
,,
Best Day,2.31%,2.34%
Worst Day,-2.91%,-2.13%
Best Month,9.13%,8.9%
Worst Month,-4.73%,-5.54%
Best Year,26.03%,12.99%
Worst Year,23.88%,10.5%
,,
Avg. Drawdown,-1.49%,-1.91%
Avg. Drawdown Days,12,21
Recovery Factor,4.62,1.93
Ulcer Index,0.03,0.03
Serenity Index,1.96,0.45
,,
Avg. Up Month,3.76%,2.7%
Avg. Down Month,-2.98%,-3.38%
Win Days,383.02,374.13
Loss Days,283.98,292.87
Win Days%,57.42%,56.09%
Win Month%,77.27%,72.73%
Win Quarter%,87.5%,75.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.36
Alpha,-,0.04
Correlation,-,43.14%
Treynor Ratio,-,57.38%
