,a2c,ddpg,td3,ppo,sac,mean var,dji
2021-10-26,1025468.1269127658,1018756.5224631045,1057728.8813918307,1002986.5511415781,1039596.4587063983,,1041671.0004376635
2021-10-27,1016874.0809843715,1023094.2665999148,1051267.5424178317,1002211.1999810518,1021246.1674008563,,1033916.4142458431
2021-10-28,1026585.8477170337,1028074.8268225405,1056342.4679663852,1002732.2282805628,1038473.1123318865,,1040901.9599721152
2021-10-29,1028950.157314629,1032176.5432684633,1056327.1277869418,1003190.1572580487,1039340.9500584796,,1043496.9879058771
2021-11-01,1028685.20474276,1038003.475656769,1056616.951109238,1002736.4934472309,1045856.910839577,,1046243.5935105638
2021-11-02,1030009.2884105152,1039857.4977019045,1060999.043360062,1002795.2335915219,1056702.6691861346,,1050286.8027057296
2021-11-03,1034354.2737277454,1042871.0764601442,1061717.9182761386,1003798.3650385353,1053649.0886693194,,1053344.1880546326
2021-11-04,1035133.9902308887,1046016.8321020815,1059641.349836655,1003821.4232244977,1047572.6039662554,,1052372.7026367004
2021-11-05,1036825.1287272876,1057666.85152652,1059101.2196486667,1004585.6966795642,1040924.4450917437,,1058307.4464010203
2021-11-08,1044206.7535746997,1057481.161077759,1063717.6699317172,1005580.1779582163,1050560.3646664813,,1061345.0310631809
2021-11-09,1044750.8990367359,1056439.5741980288,1062785.3015731052,1005691.6800106799,1041259.8924260333,,1058075.300418523
2021-11-10,1035976.9861377185,1049947.155004761,1059201.4749434665,1004558.6717543628,1036215.8611455157,,1051082.471681035
2021-11-11,1032994.6900561756,1047184.817781708,1053742.1998427585,1003470.7027344385,1036448.7445645526,,1046458.8975296255
2021-11-12,1037986.018364281,1052660.6658423159,1059006.8498938754,1004082.1394487636,1039035.6990857318,,1051675.8095010067
2021-11-15,1034866.4522021717,1063532.5789854738,1055966.3910468295,1002847.7880630291,1034555.8385091021,,1051301.1896116037
2021-11-16,1033424.2976573413,1065567.0134375307,1059657.0142462924,1003139.906016459,1029517.1479802325,,1052896.7380530736
2021-11-17,1031653.600181908,1065328.1298926088,1054775.5908835605,1002600.6936520867,1014734.0091138079,,1046744.9833139386
2021-11-18,1026563.4104693836,1067188.8588049624,1056575.6185439304,1002476.1278210166,1012786.9213223651,,1044994.1018988858
2021-11-19,1016080.1641848987,1054688.4663717959,1049119.3881095126,1000340.5406705458,1007726.0012860491,,1037158.4922072919
2021-11-22,1015442.5934794849,1053900.7180731508,1051167.142137833,999854.2883635731,1012542.9413685992,,1037661.58896642
2021-11-23,1019973.4941600269,1056128.5150625918,1060104.758379288,1001309.2149634877,1026508.0570759967,,1043329.2510538177
2021-11-24,1017794.960136742,1058453.390878937,1058920.5170203096,1001361.940061949,1025375.3837704852,,1043054.7725686292
2021-11-26,990419.9338954395,1027838.1375754091,1028123.1872702487,997320.4741573811,998685.912086983,,1016689.1339976199
2021-11-29,1004704.1203998035,1035177.692453644,1032656.8845625765,1001000.8218042889,992184.9790768817,,1023581.821330893
2021-11-30,985005.2915080494,1017945.001714966,1015291.8763767245,996963.2441635609,981177.2511029437,,1004581.241648719
2021-12-01,963879.7713397449,1008363.7555258486,1010365.4375193941,994895.348783167,975416.6450772479,,991131.5682803923
2021-12-02,978626.4603732532,1030138.9771979067,1025406.8033455126,997449.7566727466,989326.4980664446,,1009127.8889941637
2021-12-03,977962.4917529529,1024538.3418524477,1025651.394214432,998815.8146554738,988172.8902478411,,1007388.3872841356
2021-12-06,994506.9588473743,1043973.4872687075,1046175.2156050265,1003234.9536481496,1007262.7847714617,,1026235.4547455304
2021-12-07,1010255.8541491932,1058736.920477173,1059020.202742302,1005821.9858527774,1023060.6061024859,,1040580.0281169752
2021-12-08,1013243.8677905506,1057632.234831116,1061551.1148041117,1006390.2069790403,1026247.4418111041,,1041608.9810452805
2021-12-09,1013349.2594035572,1056919.1737196657,1063723.3597457926,1008009.7387920554,1025854.0138898089,,1041607.2740895269
2021-12-10,1021731.954452843,1067324.12962558,1067844.735840794,1011250.480633513,1024217.7217755511,,1047908.4443556322
2021-12-13,1014496.5084575122,1052055.274622223,1061301.2296949886,1010069.2469018043,1017597.033684273,,1038585.0520291493
2021-12-14,1009549.462757439,1042842.4628317568,1062606.4166252483,1009218.1526439005,1024129.8129582598,,1035474.6372548327
2021-12-15,1023541.232326836,1051312.6595175478,1074016.861602055,1014880.2750857187,1036173.6298833087,,1046639.4934483625
2021-12-16,1021520.5294650501,1043063.1092703554,1071524.8181450237,1014283.7481607767,1046418.4950452044,,1045771.6771432024
2021-12-17,1009770.4612887806,1030584.3196013186,1051707.8759300578,1010752.2670768074,1028816.0137868121,,1030267.6256268226
2021-12-20,997023.7080882496,1021911.0865004275,1043419.5909875681,1007883.3971365264,1013286.0524411395,,1017645.256813769
2021-12-21,1009548.5096515125,1041150.5320189211,1052388.9851346246,1010931.6661983853,1026426.1815724566,,1033974.9059296683
2021-12-22,1016719.354378075,1050657.5650923464,1061300.6135792048,1013946.9819641208,1035432.9587178424,,1041583.9456942269
2021-12-23,1022155.8342784351,1057585.1450941775,1065541.4623646052,1015719.8889363306,1042781.7273450091,,1047313.2857828566
2021-12-27,1033214.2381328052,1069569.6615889284,1075258.6796650202,1018933.2303944185,1050383.8138776019,,1057562.5309101238
2021-12-28,1034357.058750481,1073147.7884505007,1079992.2399524958,1020490.337149244,1052363.4798016741,,1060354.3139437574
2021-12-29,1035481.6891330188,1074493.707296631,1083764.951012066,1022123.5761492365,1054518.7419591143,,1062988.374265753
2021-12-30,1034238.3443721241,1070675.543764374,1084304.6316608698,1021466.6417709368,1051897.837967415,,1060350.4448440492
2021-12-31,1032145.581684441,1070897.154272339,1084060.9002765925,1021312.5198222714,1048563.4292264178,,1058609.0085841666
2022-01-03,1041404.6673091358,1076166.773199341,1089617.9429554255,1021867.4673075046,1063582.3225751116,,1065797.568248074
2022-01-04,1041693.2518657154,1083385.732057831,1094896.2409169239,1019033.6040768337,1082415.7586064532,,1072049.0092032226
2022-01-05,1028871.39747271,1072936.24864032,1092301.4073744167,1017237.4355483266,1077044.3944440081,,1060613.543624213
2022-01-06,1018260.3978351062,1070887.9286368105,1086008.4240172845,1009415.0096641713,1075556.141949196,,1055642.4332813583
2022-01-07,1018979.4534266895,1072126.2263663027,1086600.7745214503,1006408.1737230932,1081255.3327565386,,1055502.3491125081
