account_rewards,date
8143.023484100355,2022-01-03
-6838.890034698416,2022-01-04
-2458.9394928740803,2022-01-05
-710.38867827598,2022-01-06
-8816.791005050763,2022-01-07
269.49854043568484,2022-01-10
1856.6183527680114,2022-01-11
-284.24755187588744,2022-01-12
-2419.297316238517,2022-01-13
-15026.399135540007,2022-01-14
-3235.9003038634546,2022-01-18
-5324.694895236986,2022-01-19
-5613.53062810516,2022-01-20
-1199.8161279143533,2022-01-21
12223.786955741816,2022-01-24
-6522.306119037559,2022-01-25
5032.116214752197,2022-01-26
7752.63687489694,2022-01-27
-1061.8537233353127,2022-01-28
1682.433390808059,2022-01-31
2479.1913459778298,2022-02-01
-7908.243495941395,2022-02-02
-4747.3270843504,2022-02-03
2666.766385650728,2022-02-04
9211.29122441099,2022-02-07
5395.549847732531,2022-02-08
-14044.710122226737,2022-02-09
-9084.62158190913,2022-02-10
-5378.156234428519,2022-02-11
7825.188263332355,2022-02-14
-1211.4172516249819,2022-02-15
-11354.568306648289,2022-02-16
-1545.1497351150028,2022-02-17
-17345.630741477944,2022-02-18
-6191.863343257923,2022-02-22
-6182.5409833831945,2022-02-23
27598.245560104377,2022-02-24
-4305.072294757818,2022-02-25
-3880.72605211637,2022-02-28
20314.719413932762,2022-03-01
4787.891349048587,2022-03-02
2602.4914615172893,2022-03-03
-9968.7180290221,2022-03-04
1433.9896965026855,2022-03-07
8965.49613952625,2022-03-08
1568.839256286621,2022-03-09
-7932.220092773321,2022-03-10
-14137.61294555664,2022-03-11
-2406.9682540893555,2022-03-14
12050.15007019043,2022-03-15
12063.024345397833,2022-03-16
9099.671466827393,2022-03-17
1156.110149383545,2022-03-18
6936.251991271973,2022-03-21
-1017.5574035644531,2022-03-22
1956.7895202636719,2022-03-23
13823.060443878174,2022-03-24
-2587.8637199401855,2022-03-25
7361.493392944336,2022-03-28
1483.8103218078613,2022-03-29
-17992.370754241943,2022-03-30
5890.159713745117,2022-03-31
