date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-01-03,0,0,0,0,0,0,0,-100,0,0,0,-100,0,100,100,0,0,-99,0,0,0,0,0,0,17,100,100,2,0
2022-01-04,0,0,0,0,0,0,0,-100,0,0,0,-100,0,3,100,0,0,-99,0,0,0,0,0,2,18,100,100,100,0
2022-01-05,0,0,0,0,1,0,0,-100,0,0,0,-100,0,1,100,0,0,-60,0,0,96,0,0,0,0,0,0,0,0
2022-01-06,0,0,0,0,0,0,0,-34,0,0,0,-100,0,2,100,0,0,0,0,0,25,0,0,0,0,0,0,0,0
2022-01-07,0,0,0,0,1,0,0,0,0,0,0,-100,0,1,100,0,0,0,0,0,13,0,0,0,0,0,0,0,0
2022-01-10,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-11,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,100,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,0,0,0,0,0,0,0,0,0,0,0,-99,0,3,100,29,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-13,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,100,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-14,0,0,0,0,0,0,0,0,0,0,0,-99,0,1,100,0,0,0,0,63,0,0,0,0,0,0,0,0,0
2022-01-18,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,100,0,0,0,0,43,0,0,0,0,0,0,0,0,0
2022-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-28,-2244,0,0,0,-177,0,0,0,0,0,0,0,-297,-111,-1100,-1840,0,0,0,-106,-134,0,0,-2,-35,-200,-1670,-102,0
