account_rewards,date
2092.391771484399,2021-07-06
-7678.234923263546,2021-07-07
12505.7859536896,2021-07-08
4208.908004074125,2021-07-09
-4474.553248191834,2021-07-12
-1851.158921295195,2021-07-13
5798.244119686191,2021-07-14
-6651.999434906058,2021-07-15
-25406.710100814817,2021-07-16
18788.140688034124,2021-07-19
8658.478252872475,2021-07-20
2605.311908721924,2021-07-21
3970.1264572143555,2021-07-22
-5070.802135467529,2021-07-23
-312.6973075866699,2021-07-26
-8836.090393066406,2021-07-27
6500.744232177734,2021-07-28
-2126.35750579834,2021-07-29
1319.0833320617676,2021-07-30
9276.222633361816,2021-08-02
-7012.523956871009,2021-08-03
-3828.826286315918,2021-08-04
7794.298701087944,2021-08-05
-6354.885744197876,2021-08-06
2009.259017944336,2021-08-09
-228.9232940673828,2021-08-10
-1779.550579071045,2021-08-11
2448.3639373779297,2021-08-12
8561.129043579102,2021-08-13
524.8426322937012,2021-08-16
-10185.13542382815,2021-08-17
6646.108562469482,2021-08-18
4755.739353179932,2021-08-19
528.8891944885254,2021-08-20
173.4940643310547,2021-08-23
1596.2939834594727,2021-08-24
-1647.3092308044434,2021-08-25
7176.643527984619,2021-08-26
-5373.156955718994,2021-08-27
1399.6229438781738,2021-08-30
-827.988655090332,2021-08-31
5530.052928924561,2021-09-01
-4529.801197052002,2021-09-02
-6432.76277923584,2021-09-03
-8995.088298980729,2021-09-07
-3504.844883087091,2021-09-08
-14860.850410461426,2021-09-09
15405.113426208496,2021-09-10
-8002.116962432861,2021-09-13
9879.191909790039,2021-09-14
-491.6148544502212,2021-09-15
2196.9186548766447,2021-09-16
-18982.34934234619,2021-09-17
1017.8054881821154,2021-09-20
4480.049688743544,2021-09-21
15767.60315322876,2021-09-22
3536.7821769714355,2021-09-23
-2296.6546211242676,2021-09-24
-19251.83275604248,2021-09-27
-468.55968856811523,2021-09-28
-18501.700019836426,2021-09-29
12055.15587234497,2021-09-30
